Title,Year,Country,Characters,Gender,Dialogues,Playability
Elder Scrolls Morrowind,2002,US,Abassel Asserbassalit,Male,"[""I don't know you. What do you want?"", 'No, foreigner. We will keep this pilgrim.', 'So, this pilgrim has value? I will give her to you for 500 drakes.', 'Thank you, . She is free to go.', 'Come back when you are ready to trade.']",NPC
Elder Scrolls Morrowind,2002,US,Addhiranirr,Female,"[""Great. So Caius says to you, 'Speak with Addhiranirr.' And you have done this thing. You are speaking with Addhiranirr. But Addhiranirr will not talk to you about the Nerevarine or the Sixth House cult, and because why? Because Addhiranirr is, at this moment, very distracted by a nice Census and Excise agent, who also wants to speak with her."", 'Addhiranirr is what you see, no one important, just a person who knows little things and does little things.', 'No. Addhiranirr is not talking about this with you, because Addhiranirr is very distracted by an annoying taxman.', 'No. Addhiranirr is not talking about this with you, because Addhiranirr is very distracted by an annoying taxman.', ""You do not know this? They are the collectors of the Emperor's taxes and tariffs. And the Emperor has outlawed trade in many things, like Dwemer artifacts and ebony, and a Census and Excise agent will enjoy being a pest about such things. For several reasons, a Census and Excise agent is not Addhiranirr's favorite person. If you want Addhiranirr to help you, make the bad agent go away. Then she will tell you things."", 'Perhaps your ears are clogged? I said, if you want Addhiranirr to help you, go get rid of this agent who is bothering me.', 'So, Addhiranirr has already said that she does not want to talk to you about the Nerevarine or the Sixth House cult, as long as her mind is distracted by the Census and Excise agents looking for her.', 'So. Are you the one Addhiranirr must thank for getting rid of the annoying Census and Excise agent? Indeed, Addhiranirr is very glad to see you, and very happy to tell a friend of my good friend Caius all about the Sixth House cult. And Addhiranirr knows nothing about the Nerevarine, but Addhiranirr is happy to tell you that, too, if it makes Caius happy. Ask away, friend .', 'Really? You have made the agent go away? This is a good trick. And Addhiranirr does not ask you how you do this trick, because Addhiranirr does not want to know. But now Addhiranirr is feeling quite good, and happy to talk to you about the Nerevarine cult or the Sixth House cult. Go ahead. Ask your questions.', 'Yes. Addhiranirr knows nothing about this Nerevarine cult, because it is just silly superstition. So you tell Caius this. Nobody in her right mind pays any attention to this nonsense. Prophecies and ancient heroes reborn and other silliness. Fuzzy tales for little kitties.', ""This Addhiranirr knows about, because it is about smuggling. Some smart smugglers are suddenly too busy for their old clients, because they have a new employer, the Sixth House, who pays VERY well. But what do they smuggle now? Addhiranirr doesn't know, because they are very secret. And this is odd, because these smugglers are always loud and bragging, and now they hush up like fat-bellied kitties full of sweet-meats."", ""Smuggling is big business. The Empire says we can't trade skooma, moon sugar, ebony, Dwemer artifacts, exotic Dunmer weapons and armor, and slaves. So smugglers trade these things. Smugglers also smuggle greef, shein, and sujamma to avoid Imperial tax. And now the Sixth House hires smugglers, though what they smuggle, Addhiranirr cannot say."", 'It is just a social club. We like the finer things in life. Those who join this club, they must know how to get the finer things in life. We are like other guilds, so we get deals on training, on goods, and on services. The Guild Stewards? They know the finer things in life very well, and know where to find them. Addhiranirr must tell you, though. There is a war between Thieves Guild and Camonna Tong. Addhiranirr is loyal to the Guild, but Addhiranirr thinks maybe the Guild is losing this war.', 'You have come from Caius, so of course he tells you all about Addhiranirr, how she is a friend of Caius, and who does little things for Caius, and who is also a member of the Thieves Guild, not at all important, but very helpful and loyal to fellow guild members.', 'Yes. So you want Addhiranirr to tell you about the Nerevarine? Or about the Sixth House cult? Or about the Thieves Guild? Or anything else?', 'You have some nerve, and also some great stupidity, to think you can do Addhiranirr the favor of selling her out to a Census and Excise agent, and then think Addhiranirr will tell you about the Nerevarine cult, or the Sixth House cult, or anything else.', 'No. Addhiranirr is not talking about this with you, because Addhiranirr is very angry with you.', 'No. Addhiranirr is not talking about this with you, because Addhiranirr is very angry with you.', 'No. Addhiranirr is not talking about this with you, because Addhiranirr is very angry with you.', 'All right. All right. I am still mad, and think you are stupid to tell that taxman where to find Addhiranirr. But since you are a friend of Caius, and Addhiranirr owes Caius a favor, I will tell you what you want to know about the Sixth House cult. And Addhiranirr knows nothing about the Nerevarine, but Addhiranirr is happy to tell you that, too, if it makes Caius happy.', ""All RIGHT! Addhiranirr is still mad. But wants you to GO AWAY! Addhiranirr knows about smuggling. Some smart smugglers are suddenly too busy for their old clients, because they have a new employer, the Sixth House, who pays VERY well. But what do they smuggle now? Addhiranirr doesn't know, because they are very secret. And this is odd, because these smugglers are always loud and bragging, and now they hush up like fat-bellied kitties full of sweet-meats. Happy? Now go away."", ""Smuggling is big business. The Empire says we can't trade skooma, moon sugar, ebony, Dwemer artifacts, exotic Dunmer weapons and armor, and slaves. So smugglers trade these things. Smugglers also smuggle greef, shein, and sujamma to avoid Imperial tax. And now the Sixth House hires smugglers, though what they smuggle, Addhiranirr cannot say."", 'As Addhiranirr said... sully superstition. Maybe you got lucky? Maybe this Dagoth, poor old fellow, and tired, so he falls down? All the stories Addhiranirr hears? Make you sound like some kind of hero or something.', 'It is just a social club. We like the finer things in life. Those who join this club, they must know how to get the finer things in life. We are like other guilds, so we get deals on training, on goods, and on services. The Guild Stewards? They know the finer things in life very well, and know where to find them. Addhiranirr must tell you, though. There is a war between Thieves Guild and Camonna Tong. Addhiranirr is loyal to the Guild, but Addhiranirr thinks maybe the Guild is losing this war.', 'Addhiranirr still thinks you are a fool for selling her out to a Census and Excise agent, but you are a friend of Caius, so Addhiranirr will tell you about the Nerevarine cult and the Sixth House cult.', 'You have come from Caius, so of course he tells you all about Addhiranirr, how she is a friend of Caius, and who does little things for Caius, and who is also a member of the Thieves Guild, not at all important, but very helpful and loyal to fellow guild members.']",NPC
Elder Scrolls Morrowind,2002,US,Addut-Lamanu,Female,"['We know about the prophecies. Our ashkhan and gulakhans say they are foolish superstition. There will be trouble if you speak with them. Perhaps you should speak to our wise woman, Manirai.', 'We were told these prophecies were foolish superstition. But you have made many changes here. Now we think, maybe these are not foolish superstition. Maybe you are something special. Maybe we can hope for something better.']",NPC
Elder Scrolls Morrowind,2002,US,Aengoth the Jeweler,Male,"['What is it, Blackcap ? Are you here looking for jobs, or are you ready for advancement?', ""I got a job for you. Something that might add some clink to your pockets. I've heard the Ald'ruhn Guild of Mages has been left unguarded. I want you to get Anareren's Devil Tanto."", ""Like I said, my source in the Mages Guild says they'll all be gone for a while. Go in there and take whatever you want, but be sure to bring me Anareren's Devil Tanto."", ""You were sent to fetch Anareren's Devil Tanto from the Guild of Mages. What happened?"", 'Did you run into any trouble?', ""Damn. Seems like the Mages Guild always knows when we're planning something. Did you get the Devil Tanto?"", ""Good. I guess the Mages Guild didn't know about our plans this time. So did you get the Devil Tanto?"", 'Yes, this is just what I wanted. You can keep anything else you found.', ""Well, what's keeping you? You're not going to let some apprentice get in the way, are you?"", 'What is it, Operative ? Are you here looking for jobs, or are you ready for advancement?', ""There's a customer who wants a Redoran Master Helm."", ""A client of ours wants a Redoran Master Helm. Most of the Councilors in House Redoran have one, but they can be hard to find. I know Miner Arobar has one, probably in his bedroom. You'd have to check Arobar Manor here in Ald'ruhn, Under-Skar."", 'Do you have that Redoran Master Helm, Operative ?', 'Did you get a Redoran Master Helm?', 'Good work. I hope our client appreciates this. Here. Take a little gold for your trouble.', ""Well get us a Redoran Master Helm, . I can't keep our clients waiting forever."", 'What is it, Operative ? Are you here looking for jobs, or are you ready for advancement?', ""Gandosa Arobar is a Councilor's daughter if you know what I mean. I hear she's got a copy of Boethiah's Pillow Book."", ""A client of ours wants some dirt on the Arobar family. Apparently Gandosa Arobar has a copy of this book, which has been banned by the Temple. Fetch the book and return it to me. I have to admit I'm a bit curious myself."", ""Any luck getting hold of Boethiah's Pillow Book? I'm sure Gandosa has a copy."", 'Did you get the book?', ""Hm. Interesting books these Dunmer have. We're getting paid well for this job. I looked over the emergency supplies here and found a ring and another you might like. Just don't tell anyone I gave them to you, eh?"", ""I need that book. I can't keep my client waiting forever. I might have to hire someone else to get that book, if you know what I mean."", 'What is it, Operative ? Are you here looking for jobs, or are you ready for advancement?', ""Another client wants us to find a copy of this book for him. It's not for sale if you know what I mean. I've heard that Miles Gloriosus over at the Andus Tradehouse in Maar Gan has a copy."", 'Have you returned with a copy of Withershins?', 'Did you get a copy of Withershins?', ""This is the right book, . I'll give you a fair price for it. How does 1000 septims sound?"", ""Well, keep looking. Like I said, I think Miles Gloriosus over in Maar Gan has a copy. I don't know where he keeps it, though."", 'What is it, Operative ? Are you here looking for jobs, or are you ready for advancement?', ""We got some Dwemer Spider Centurion from a friend, and we got Estoril who can fix them up, but we don't have any scrap metal."", ""You can find scrap metal in most Dwemer ruins. I wish I knew a better place to get some, but I don't. We need four pieces of scrap metal to be on the safe side, but you don't need to try and clear out a Dwemer ruin, just run in, snatch some, and get out."", 'We will need four pieces of scrap metal to fix the centurions. Have you found some?', 'Did you find some scrap metal?', ""So you found some, eh? Well, I'll give you a fair price for it. How about 250 septims each? That should put some clink in your pockets."", 'Well, keep looking. We used to have some Spider Centurion guards, and I sure felt safer with them around.', 'What is it, Bandit ? Are you here looking for jobs, or are you ready for advancement?', 'Eindel, a Bosmer like me, has some fine arrows, the Darts of Judgement.', ""Eindel has four Darts of Judgement. They're very rare arrows made in my home province of Valenwood. Eindel is a guard at Llethri Manor in Ald'ruhn. If you find the Darts there, feel free to use them, but the Guild will pay good money if you don't want them."", 'Well, Bandit , have you been able to recover the Darts of Judgement?', 'So you found the Darts of Judgement. Do you want to keep them or sell them to the Guild?', ""Here's 500 septims for the Dart."", ""Here's 1000 septims for the Darts."", 'You put them to good use, then.', ""You've done pretty good work for me, Bandit . If you've got a price on your head, I'll see if I can take care of it."", ""I got not jobs for you, Bandit . Try Sugar-Lips Habasi in Balmora, or Big Helende in Sadrith Mora. Or you could talk to the Master Thief himself, Gentleman Jim Stacey. He's in Vivec, but is very choosy about who he has work for him."", 'You can find her in Balmora, at teh South Wall Cornerclub.', ""Go to Sadrith Mora. You'll find Big Helende at the Dirt Muriel's Cornerclub. It's quite a place."", ""Look for him in Vivec. You'll find him in the basement of Simine Fralinie's bookstore in the Foreign Quarter.""]",NPC
Elder Scrolls Morrowind,2002,US,Ahaz,Male,"['What do you want?', 'Oh, all right. If you insist....', ""Why do you bother us? We don't like you. Go away."", 'He is like the Nix-Hound chasing a bone. We told him the Mabrigash wanted to hear him speak from his books. He went to them, and never returned.', ""The wise-woman who left us, and our rules. She steals a man's vital essence to make herself a powerful sorcerer. Her camp is to the west, along the lava. She has others with her and I would stay away. It'll be hard to find the camp in this landscape anyway.""]",NPC
Elder Scrolls Morrowind,2002,US,Ahdni,Female,"['Do you have the key to these bracers? Will you let me go free?', 'You have the key. Will you let me go free?', 'Yes, Ahdni is free! You are a good friend to Ahdni.', 'You freed me, .', 'Ahdni is so very sorry. Please do not punish poor Ahdni.']",NPC
Elder Scrolls Morrowind,2002,US,Ajira,Female,"[""What brings you to Anjira's shop? Do you want to try the local brews? Need something to help in a fight? Some Telvanni bug musk to bring you a mate? Or a way to get to those high places where your hands cannot reach?"", 'Yes, Anjira sells mazte, flin, and sujamma. They make you as strong as a kagouti and half as smart. Puts hair on your face.', 'Ajira sells potions of restore health for when your are bleeding. And potions of restore fatigue when you are weary.', 'Ajira does not like the Telvanni, but even Khajiit like the smell of bug musk. Try some and smell how all the women like you.', ""What brings you to Anjira's shop? Do you want duties from Ajira? Do you want the local brews? Or help in a fight? Some Telvanni bug musk? Or a way reach the high places?"", 'Yes, Ajira has duties for you. Before Ajira can be a Journeyman in the Mages Guild, Ajira must study local mushrooms.', ""To finish Ajira's report, Ajira needs samples of Luminous Russula, Violet Coprinus, Bungler's Bane, and Hypha Facia. Ajira knows you can find all these on the Bitter Coast. The easiest way is go south along the River Odai until you see a wooden bridge across the river. Get out of the river there and find a path west over the hills."", ""Do you have samples of all the mushrooms? Luminous Russula, Violet Coprinus, Bungler's Bane, and Hypha Facia?"", 'Where are these samples? Ajira does not see all four samples.', 'Please hurry, . Ajira wants to be Journeyman very soon.', 'Russula comes from a short, smelly toadstool which is brown on top.', 'Coprinus comes from long-stemmed toadstools which glow blue at night.', ""Bungler's Bane grows on trees and sometimes other things. It looks like the tree has brown shelves. Ajira warns you not to eath Bungler's Bane."", ""Hypha Facia looks much like Bungler's Bane and grows like a shelf on trees and other things. Hypha Facia is safe to eat, but make sure it is not Bungler's Bane."", 'Has found the mushrooms Ajira needs?', ""Do you have samples of all the mushrooms? Luminous Russula, Violet Coprinus, Bungler's Bane, and Hypha Facia?"", 'Yes, these are all good samples. Now Ajira can write the report and be a Journeyman of the Mages Guild. Ajira has made potions for you to take in return. Ajira is not great alchemist yet, but Ajira thinks you can use these.', ""What brings you to Anjira's shop? Do you want duties from Ajira? Do you want the local brews? Or help in a fight? Some Telvanni bug musk? Or a way reach the high places?"", 'Yes, Ajira has some duties for . Ajira made a bet with Galbedir...', 'Ajira made a bet with Galbedir that Ajira would be a Journeyman before Galbedir. Now Ajira must study these mushrooms and write a report. Ajira wants you to give Galbedir a fake soul gem.', ""Ajira has made a fake soul gem. Take it and put it in Galbedir's desk upstairs. Galbedir should be coming downstairs to talk with Marayn Dren, so no one will see you do this thing."", ""Has put the fake soul gem in Galbedir's desk?"", 'You have put the gem in the desk as Ajira asked? Ajira thanks you.', ""What brings you to Anjira's shop? Do you want duties from Ajira? Do you want the local brews? Or help in a fight? Some Telvanni bug musk? Or a way reach the high places?"", 'Ajira must now study local flowers.', 'Yes, Ajira must study flowers now. Ajira needs samples of Gold Kanet, Stoneflower Petals, Willow Anther, and Heather. These can all be found on the shores of Lake Amaya.', 'Do you have the flowers that Ajira wants?', 'Do not lie to Ajira. Ajira needs Gold Kanet, Stoneflower Petals, Willow Anther, and Heather. You do not have all that Ajira needs.', ""Ajira must make Journeyman before Galbedir. Ajira must have those flowers very soon or Ajira might forget that good things you've done and ask Ajira's good friend Bribanne Erien to bring her the flowers."", 'Gold kanet grows near rocks. It has yellow flowers and broad dark-green leaves. The leaves are spiny, so Ajira warns you not to touch the leaves.', 'Stoneflowers are dark blue and their stems bend towards the ground when they are in bloom. The leaves look like they are folded along the stems.', 'Willow flowers are reddish and tall, but they do not bend to the ground like stoneflowers. The leaves are long and thin.', 'Heather has needles like the trees in Skyrim and High Rock, but it grows near the ground and has pink flowers.', 'To get to Lake Amaya, go southeast out of Balmora, past Fort Moonmoth. Then follow the signs and take the road to Pelagiad. After you cross the Foyada Mamae, go towards Suran at the next crossroads. All the flowers Ajira needs are near the path to Suran which runs along the north shore of Laka Amaya.', 'Does have the flowers for Ajira?', 'Do you have the flowers that Ajira wants?', 'Yes, these are the flowers that Ajira needs. Ajira has made more potions for you. Ajira hopes that you will use them well.', 'Ajira must now study these flowers and mushrooms. knows this. Why does pester Ajira now?', 'Ajira is very sorry. Ajira has much work to do on these reports so Ajira can win her bet with Galbedir. Maybe you could fetch a new ceramic bowl for Ajira?', ""Yes, take these 10 drakes and go find Ajira a ceramic bowl. Ajira thinks Ra'Virr the trader here in Balmora has some."", 'Ajira must find her stolen reports!', 'Yes, Ajira needs a ceramic bowl. Did you find one for Ajira?', 'Yes, good. This is an very good bowl. But now Ajira must find her stolen reports!', 'Nevermind then. Ajira must find her stolen reports!', 'Ajira must find her stolen reports!', ""Ajira needs your help very badly. Galbedir stole Ajira's reports on the properties of local mushrooms and flowers. Ajira knows Galbedir did not leave the Mages Guild, so the reports must be nearby."", ""Have you found Ajira's reports?"", 'Ajira does not see the reports. Bring the reports to Ajira.', 'Ajira asks you to keep looking, then. They cannot be far from here.', ""Has found Ajira's stolen reports?"", ""Have you found Ajira's reports?"", 'Yes, these are the reports Ajira needs. Ajira thanks you, . Ajira is your friend always. Ajira worked very hard on these potions for you.', 'Ajira knows that is a good friend of Ajira.', ""Ajira knows many secrets, but they are not yet for friend . Speak with Ajira again when you are a Warlock. Ranis Athrys may have duties for you, but Ajira does not like Ranis much. Maybe you should speak with Ajira's good friend Edwinna Elbert at the Guild of Mages in Ald'ruhn?"", ""Ajira has some duties for Ajira's good friend, ."", 'Ajira has no duties for friend , but she is ready to tell you a secret. Ajira knows all about the Staff of Magnus.', 'Ajira knows the Staff of Magnus is in Assu. It is a cave on the slopes of Mount Kand just northwest of Molag Mar.', 'Ajira is a good friend of and tells about the Staff of Magnus.', 'Ajira knows you have found the Staff of Magnus. Now Ajira might tell you her other secret.', ""Ajira has some duties for Ajira's good friend, ."", ""Ajira will tell friend another secret. Ajira also knows about the Warlock's Ring."", ""Ajira knows that Vindamea Drethan has the Warlock's Ring. Ajira tells you this because Ajira does not like Vindamea Drethan. She is in Ashirbadon, a cave on a small island west of the ruins of Bal Fell."", ""Ajira is a good friend of and tells about the Warlock's Ring."", ""So you have found the Warlock's Ring. Remember that Ajira is your good friend who shares all her secrets.""]",NPC
Elder Scrolls Morrowind,2002,US,Alarvyne Indalas,Female,"['Greetings, friend. How can I help you? We have an excellent selection of glassware, although getting more exotic items has become very difficult.', 'Well, some of the finer materials are hard to come by these days. While it would be nice to have such items as dwarven limeware, it has become too difficult to obtain it.', ""It didn't used to be as much of a problem, but Bolryn at the East Empire Company has been manipulating the prices; I'm sure of it. And he won't give most of us a license to sell the stuff. Actually, I know for a fact that there's a shipment of limeware being held up on a ship in Ebonheart. If you'd be willing to...recover it for me...I would be willing to reward you very generously. Perhaps 1,500 drakes?"", 'Excellent. You can find the limeware aboard the Chun-Ook, docked in Ebonheart. It is likely to be very well guarded, so take care. There should be at least ten pieces of it...bowls and cups, I believe. Anything else you find -- flasks, plates, or platters -- is probably fake, so leave it behind.', 'I would be good to get my hands on that shipment. Let me know when you get the pieces.', ""Well, I suppose I shouldn't have expected your help."", 'You got the cups, but where are the bowls? Come back when you have everything.', 'You got the bowls, but where are the cups? Come back when you have it all.', ""You've gotten it! Well done, . I was beginning to think we'd never see this kind of merchandise again. As promised, here is your reward. I hope it wasn't too much trouble for you."", ""It's good to finally get my hands on some good merchandise.""]",NPC
Elder Scrolls Morrowind,2002,US,Albecius Colollius,Male,"[""The heavy armor styles, called 'Legion' or 'knight' style in the West and 'ebony' style in the East, require great strength and endurance. The light armor styles, called 'militia' the West and 'Ashlander' in the East, favor speed and agility. The medium armor styles, called 'Imperial guard' in the West and 'Great House' in the East, are compromises between the heavy and light styles, balancing protection against mobility. A few less common exotic armor types are also found in Morrowind."", ""In the West, cheap iron, steel, and silver heavy armor is made in quantity for the Legions, and many are trained in its use. In the East, the expense of the superb ebony and daedric heavy armors limits their use to aristocratic families. Suits of ebony and daedric armor are passed down from generation to generation, and represent a sizable portion of a Great House nobles' personal wealth."", 'As it wears out, armor becomes less effective. Broken armor is completely useless until you repair it, but worn armor stops only a fraction of the damage that new or well-maintained armor does. Learn the basics of armor repair, and go over your armor, piece by piece, before every big battle. Or visit a smith regularly to keep your armor in good shape.', ""Weapons become less effective with wear. Eventually they break, and are useless until you repair them, but a worn weapon does only a fraction of the damage it should do. You'll hack and stab and slash away, and suddenly realize you're doing almost nothing to your enemy. So learn the basics of weapon repair, and touch up your weapons before every big fight, or pay a smith to keep your weapons in top shape."", ""Did you hear that some fool lost Mentor's Ring. In a tomb along the Bitter Coast, or so they say.""]",NPC
Elder Scrolls Morrowind,2002,US,Alfe Fyr,Female,"['I suppose you want to speak to Divayth Fyr? Have you got corprus disease? Or were you planning to plunder the dungeon?', ""He's in his study. He's busy. He's always busy."", ""If you've got the disease, go down to the dungeon with all the other monsters."", ""You're smart. Get corprus disease. Get killed by corprus monsters. Get killed by Vistha-Kai. A very good plan. Plunder the dungeon of a 4000-year-old wizard. What could be easier?""]",NPC
