Title,Year,Country,Characters,Gender,Dialogues,Playability
Elder Scrolls Oblivion,2006,US,Abhuki,Female,"['You have rented the only room I have for you.', 'A bed you seek? There is one here for you, if you have the 10 gold to rent it.', 'You do not have the money for me, so I do not have a room for you.', 'Up the stairs you must go, to the first door on your right. That is your room for the night.', 'Seek out Tooth-in-the-Sea. He can train you further. ', 'Tooth-in-the-Sea can teach you more than I. Search for him north of Bravil, along the coast of Niben Bay. Or perhaps in it, depending on his mood.']",NPC
Elder Scrolls Oblivion,2006,US,Adamus Phillida,Male,"[""Do we know each other? There's something familiar about you, but I just can't place it."", ""I'm Adamus Phillida, prison administrator and commander of the Imperial Legion forces here in the Imperial City. Have we met? You look familiar."", ""It is a wonderful city, and I'm proud to have served her for 40 years. But I'm ready to retire, let the young folks take over the reins."", ""Yes, well... I'm a very busy man. Enjoying my retirement, don't you know. So why don't you just... go away."", 'Oh, Sithis needs my soul does he? Well, you can tell your Dread Father that he can kiss my wrinkled arse! Defend yourself, Dark Brotherhood dog!', ""Ah, one of you again, eh? You Dark Brotherhood types are all the same. All sneak and no swing! You'll meet the same fate as the others! En garde!""]",NPC
Elder Scrolls Oblivion,2006,US,Adanrel,Female,"[""I'm Adanrel. I'm discouraged."", ""Lots of us on the Waterfront are down. We can't do that dungeon stuff like you adventurers. We got no money, and no skills. Nobody wants us.""]",NPC
Elder Scrolls Oblivion,2006,US,Adeo,Female,"['I am yours to command, Your Grace.', 'We must find Dylora and free her!', 'Thank you for coming. I apologize for summoning you. The blame is mine.', ""We've lost control of Pinnacle Rock. Syl let them in... We had no idea she would turn on us."", 'They captured our commander, Dylora, and have her imprisoned somewhere inside. Our first priority must be rescuing her.', 'She is our commander. She leads us. Without her, we are at a loss. I have done what I can to take her place, but I know I am insufficient.', 'Order has kept her hostage so that she cannot return to us and lead us. If we can free her, she may know how best to defeat them.', 'Syl let them in. More than I could count. It was all we could do to fall back and regroup out here.', 'We must free Dylora as soon as possible. She will know what to do.', 'Forgive me for saying so, Your Grace, but I find taking orders from the Duke of Mania to be... unsettling.', 'You are the only remaining Duke, which is a situation quite unprecedented. Normally, you would never be permitted to pass within Pinnacle Rock.', 'Given the need for swift action, the normal customs shall need to be overlooked for now. We shall be right behind you, Your Grace.', 'Forgive me for saying so, Your Grace, but I find taking orders from the Duchess of Mania to be... unsettling.', 'You are the only remaining Duchess, which is a situation quite unprecedented. Normally you would never be permitted to pass within Pinnacle Rock.', 'Given the need for swift action, the normal customs shall need to be overlooked for now. We shall be right behind you, Your Grace.', 'Syl had called her aside, separating her from the group. She meant to divide our numbers when Order entered, making us easier targets.', 'They imprisoned Dylora somewhere within Pinnacle Rock. If they killed her, she could return to us, so they keep her hostage.', 'If we follow the waters of the Wellspring, we will surely find her.', 'Of course, your Grace.', ""If you insist, Your Grace, but there's not much time."", ""Please, Your Grace. Hurry; we haven't much time.""]",NPC
Elder Scrolls Oblivion,2006,US,Adosi Serethi,Female,"['Sometimes, people who are invisible are trying to get some privacy. Diram will be glad to talk your ear off about the whole mess.', ""Oh, it's you. My brother goes on and on about you. I know you saved us and everything, but it does get tiresome after a while."", ""You better stay away from Diram. He's not very happy with you."", 'Typical Altmer. Thinks the whole world is made for his convenience.']",NPC
Elder Scrolls Oblivion,2006,US,Adrienne Berene,Female,"['Have Erthor see me when he gets back, Associate.', ""I hope you've found Erthor."", 'I hope this is important, Associate.', 'Oh, your guild privileges have been suspended. You should speak with Raminus Polus at the Arcane University to rectify the situation.', ""You're here about that recommendation, I presume. I'll need to speak with Erthor before I write it."", 'I trust you have good reason for interrupting me?', ""Hmm, what? I'm rather busy right now."", 'Oh, is this about joining the Mages Guild? I suppose I could spare the time, if necessary.', ""I'm in charge here. Adrienne Berene. Do you have Mages Guild business?"", 'You have all the recommendations you need, I believe. Raminus Polus will want to speak with you. You can find him at the Arcane University.', ""I've spoken with Erthor, who seems to be all right. Good work. I'll see to it that your recommendation is sent in, as soon as I have a free moment."", ""As I've said, I am rather busy. I'll get to it eventually though, I assure you."", ""Any luck finding Erthor yet? I'll need to speak with him before I can feel your recommendation has been earned."", ""I'm afraid I haven't given it much thought. I'm rather busy, you understand. My research occupies nearly all of my time."", ""Now that I think about it, I do have a small problem concerning Erthor. He's one of the guild mages here. Think you can do something about it?"", ""Oh, yes. You still need that, don't you? Well, are you ready to take care of that matter for me now?"", ""There's at least one person in every guild hall who offers spells; check at every hall to make sure you don't miss any."", ""What? You want a tour? Can't you see I have a lot on my mind? Go bother a beggar or guard... they stand around and chatter all day."", ""You're a wanted criminal, hardly the sort of person that has a place in the guild. Clean up that record of yours, and maybe you'll be considered."", ""You're interested in joining? Great things will be expected of you. Are you sure you're ready for it?"", 'Then you are now an Associate of the Mages Guild.', 'You must receive a recommendation from every local guild hall in Cyrodiil before you may advance through the ranks of the guild.', 'In the meantime, as a member of the guild, you now have full access to the guild halls around Cyrodiil. Only the Arcane University is closed to you.', ""Well then. If you re-think your decision, I'll be around."", ""You said he was at Bleak Flats Cave. Haven't you looked there for him?"", ""He's... well, he's an interesting fellow. Sulinus Vassinus can tell you more about him, if you wish to know."", ""Sulinus should be around here somewhere. Talk to him if you'd like to know more about Erthor."", ""Oh, I do remember telling him to go there... hmm. Well, we'll just have to do something about that, won't we?"", ""By we, I mean you, of course. I have something that may help - it's a basic fireball spell, in case you need to defend yourself."", ""I'll be here when you get back. Good luck!"", ""Very well. Come see me when you're ready, and we'll get started."", ""Excellent. I just don't have the time to search for him again, but I do need to consult him about some notes he borrowed."", ""You might want to ask around, and see if anyone can be of some help. Let me know when he's back, and you'll have your recommendation."", ""Oh, spare me. You're lucky I bothered to send someone after you at all. In the future, would you please be more careful?"", 'So it would seem. You are unharmed, I presume?', ""It's been the home of the Mages Guild for the longest time. You should see the library they have there!"", ""It's the only place worth visiting in the Imperial City, if you ask me. I only make the trip if I can't find a specific book here.""]",NPC
Elder Scrolls Oblivion,2006,US,Aelwin Merowald,Male,"['Twelve more... Twelve! I was so close!', ""Yessir, no more fish for me. Just long peaceful days ahead for ol' Aelwin Merowald."", ""How's the fishing trip going?"", 'Hello.', ""The fishing is best when it's raining like this. The fish all come right to the top. It's like they're waiting to be caught."", ""Finally, I'll be able to retire."", ""Still staying away from my fishing spots? I may be retired but they're still mine, you understand?"", ""Yessir, no more fish for me. Just long peaceful days ahead for ol' Aelwin Merowald."", ""I'm looking forward to my retirement -- long days in the stable with the horses, long mornings in bed, and best of all: no more fish."", ""You know, stranger, there comes a time in every man's life when he has to admit that he's lost the fight. Well, I've fought and I've lost."", ""Who did I lose to? Who is my great enemy? Well, don't laugh... it's a bunch of damn fish."", ""I don't know what I'll do if you don't get those scales for me. I've saved so much for my retirement, but it's just not enough..."", 'Come back to laugh at the pathetic old man, have we? To the pit with you! Leave me alone.', ""Eh? You again? You ready to hear about an old man's troubles?"", ""Fine then. I'll find someone else. Someone who isn't too busy to help a desperate old man."", ""Go on and lau... Wait. Help? Oh. Well, then... I'm a fisherman. Or at least, I was. Until one of those slaughterfish damn near took my leg off."", ""I was collecting their scales, see. I had a contract with this young alchemist. You wouldn't believe what he was paying for those scales!"", 'Then last month, one of the bastards got ahold of my leg. Took me right out of the business. But this alchemist, he needs the scales right away.', ""Bah! See, I knew you'd laugh. Some big hero you are. You're all the same. Nothing to do but laugh at an old man and his troubles. "", ""By the Nine! You've got the scales! Thank you! Let it never be said that there are no kind souls in this world."", ""I'll give you this ring in trade. I have no use for it anymore, but I imagine that it would be very valuable to someone like you."", ""Thank you, stranger. You've shown me kindness and I will think of you in the long comfortable days ahead."", ""You'll find the Rumare slaughterfish all over the lake around here. Just dive in, wrestle one down, cut its throat and bring me the scales."", ""The Rumare slaughterfish are a special breed -- nastier than the regular kind. They have a spawning pool nearby, so this area is lousy with 'em."", 'Be careful out there. The Rumare slaughterfish are all around this area. ', ""The alchemist was paying so much for the scales that I'm close to having enough saved so that I can retire."", ""But now, I can't get out there to the lake -- not with this leg. I only needed twelve more scales! Can you believe it? I was so close!"", ""I've picked up a few things in my travels. If you head out there and bring me back the twelve scales that I need, I can make it worth your time."", ""Help an old fisherman out, won't you?"", ""Well... I'll tell you a secret. I took some of the money I saved and paid a mage to lock the rest of it away in a box inside my house."", ""Nothin' can open it except for this key right here. And there ain't no way anyone is gettin' this key while I'm still breathing."", ""Yessir, I worked too hard to collect that money. I'm not about to let anyone steal it from me."", ""Well... I'll tell you a secret. I took some of the money I saved and paid a mage to lock the rest of it away in a box inside my house."", ""Nothin' can open it except for this key right here. And there ain't no way anyone is gettin' this key while I'm still breathing."", ""Yessir, I worked too hard to collect that money. I'm not about to let anyone steal it from me.""]",NPC
Elder Scrolls Oblivion,2006,US,Aengvir,Male,"['Please. Help us.', ""It's been horrible. Horrible."", ""Some have said they're will-o-the-wisps, though I've never heard of one killing a full-grown man."", ""They were seen around the Swampy Cave. Strange, moving lights. I've never seen anything like it. Old-timers have tales about such things."", 'I saw them a few nights ago. Very odd.', ""I don't know you well enough to talk about that."", 'Horrible, just horrible. Those poor people.', 'You should ask Drarana Thelis about that.']",NPC
Elder Scrolls Oblivion,2006,US,Aenvir,Male,"[""We're busted. Get him!"", ""We're busted. Get her!"", 'He hired a guard! Attack!', 'No time to talk. Go away.']",NPC
Elder Scrolls Oblivion,2006,US,Agarmir,Male,"['Hmph.', 'You fool!', 'Eh?', ""I had a feeling you'd catch on sooner or later. That's why I had this trap prepared for you. If you'll notice, the grave is already dug."", ""This time, it wasn't to take something away from the graveyard, it was to add something. I'm afraid all I can offer you is an unmarked grave."", 'Yeah?', ""I'm Agarmir. And I'm a very busy man. Are you just fishing around, or do you have business with me?"", 'Inventory? I am a simple trapper. My inventory just consists of pelts and skins. I would hardly call that inventory. Now get outta my way.', ""Don't know anyone by that name. Now go away."", ""Don't worry, it will be very soon. Now get outta' here."", ""You cut back now, and I'm going to take my business elsewhere. Or maybe pay a visit to that Jensine and tell her about your little scheme."", 'You take what I get. I get notice at the last second, and I have to jump on it. No time to be picky about it.', 'Well, just shut up and listen to me. The next shipment will be sooner than I expected. Just have the money ready.', 'Shhhh, not so loud. How many time have I told you that?', 'You are a damn fool.', ""I have no idea what you're talking about, but you have a sick mind. Get away from me."", 'I supply many fine city merchants with goods. All sorts of things. Whatever I can buy cheap and sell dear.']",NPC
Elder Scrolls Oblivion,2006,US,Agata,Female,"['Any news about the amulet?', 'Yes? Is there something I can help you with, Associate?', ""My name is Agata. I'm responsible for enchanted item recharge for the Guild here in Leyawiin."", ""If you've got the amulet, then Dagail should be able to regain control of her visions. Then I'm sure she can send that recommendation for you."", ""You'll have to speak to Dagail. I just don't understand what it is she wants."", ""I take it you've spoken to Dagail? Then you know she is not well."", 'She has visions, for lack of a better term. While they used to be helpful at times, they have lately become problematic.', ""There was an amulet, a family heirloom, that she wore to suppress, and sometimes focus, the visions. She's lost the amulet, and so has lost control."", ""Ah, yes. I'm afraid I'm unable to issue a recommendation. Only Dagail can do that."", ""You may try to speak to her. If... if it doesn't go well, come see me."", 'She is not well. I hope her amulet can be found soon.', 'Her condition remains unchanged. I appreciate you inquiring about her.', ""There's nothing new I can tell you about jobs for your guild."", ""Jobs for the Fighters Guild? Hmmm... try Margarte. If she's not at home or at the Five Claws, she's probably out looking for alchemical ingredients."", ""Jobs around here? Don't know that I trust you enough to recommend you to anyone."", 'You may need to ask around, but training in all the schools of magic can be found at our various guild halls.', ""There's no place like it in Cyrodiil; it's truly one-of-a-kind. You should think about joining. Dagail can make you a member, if you like."", 'At times, they served her well. She gained something of a reputation in the guild, and was highly valued by the Council.', 'As she aged, the visions became less coherent. Rather than cast her aside, the Council gave her a position here.', ""Some resent her, and wish she'd disappear. I do not. I am proud to help her with her daily tasks."", ""She's led such a troubled life. I just do what I can to make it easier on her."", ""I take care of what little administrative work there is. Dagail isn't interested. I do it because it has to be done, and no one else wants to do it."", ""You've found it! Oh, how wonderful! Finally, things can return to normal. By all means, see that it gets to her immediately."", ""There may be a connection to Dagail's father. Have you spoken to her about it?"", ""So Kalthar overheard us, did he? That explains why he's been so cranky lately."", ""But we never said anything about Dagail's father. How would he know anything about that?"", ""If there's some sort of connection between the seer's stone and Dagail's father, I don't know about it. Maybe if you ask her, it will jog her memory."", ""In the meantime, I'll keep an eye on Kalthar."", ""I'm surprised she discussed it with you. She wanted to keep it from the others... I should speak to her about that."", ""Yes, her seer's stone is missing. It's the one thing that has kept her visions at bay, and without it, they're nearly crippling. She can't function."", ""We haven't yet spoken to the others, for fear they would be less than accepting of her situation. Perhaps it is time, though."", 'I will continue to tend to Dagail. Can you speak with the other mages, and find out if any of them have seen the stone?']",NPC
Elder Scrolls Oblivion,2006,US,Agnete the Pickled,Female,"['Perhaps you need new armor? A weapon? I have a large selection of both.', 'Armor, weapons, I have it all. How may I help you?', ""Not so loud, please. What a headache I've got. I'm Agnete the Smith. 'The Pickled' they call me. Sure wish I was pickled right now."", ""Well, the local wine is great. It isn't cheap. But I don't bother with beer or ale any more, and for a Nord, that's saying something.""]",NPC
Elder Scrolls Oblivion,2006,US,Agronak gro-Malog,Male,"['Aggh! Yes, strike me down!', 'Again! Hit me again!', 'Aggh! Again!', 'I am nothing but a vile spawn of evil! Kill me!', 'Do it! End my misery!', 'May your blade always strike true!', 'Hmm? Oh, yeah... Bye...', 'Well now, who do we have here?', 'Hello, my friend.', 'Oh. You... Hi.', 'What are you waiting for? Kill me!', ""Please, just kill me! Can't you see? It's what I want! I can't live like this, knowing I'm something filthy, something evil! Kill me!"", ""Hail, friend. I don't believe I've ever seen you down here in the Bloodworks before. Allow me to introduce myself. My name is Agronak gro-Malog."", ""Most people just call me the Gray Prince. It's kind of silly, I know, but the people of Cyrodiil need heroes. I'm more than happy to oblige. "", ""Hail, friend. I don't believe I've ever seen you down here in the Bloodworks before. Allow me to introduce myself. My name is Agronak gro-Malog."", ""Most people just call me the Gray Prince. It's kind of silly, I know, but the people of Cyrodiil need heroes. I'm more than happy to oblige. "", ""Ah, so you're an Arena combatant! It's always good to meet a fellow warrior, especially one who isn't here just to kill the Grand Champion! Ha ha ha!"", ""Hail, friend. I don't believe I've ever seen you down here in the Bloodworks before. Allow me to introduce myself. My name is Agronak gro-Malog."", ""Most people just call me the Gray Prince. It's kind of silly, I know, but the people of Cyrodiil need heroes. I'm more than happy to oblige. "", ""I know who you are, of course, and it's easy to guess why you're here. You wish to challenge me for my title of Grand Champion, is that it?"", ""Hail, friend! Good to see you again. I hope the Arena has been as good to you as it's been to me. What brings you back to the Imperial City?"", ""Sorry, friend, but we've got nothing more to talk about. If you're ready to fight, talk to Ysabel and she'll arrange the match."", 'Hail, friend! Good to see you again. So tell me, what brings you back to the Imperial City?', ""Ah, so you've returned. Come at last to challenge me for my Grand Champion title?"", ""You've returned! So, have you been to Crowhaven? Have you... Oh, I see you have not yet recovered any proof of my birth..."", 'Please, friend. Make haste! This waiting about is torture! I know in my heart who I am, but with evidence I can prove my claim to all of Tamriel!', ""But wait, I'm sorry. I'm being selfish. You're a Champion, and have the right to challenge me for my Grand Champion title. Is that your wish?"", ""You've returned! So, have you been to Crowhaven? Have you... Oh, I see you have not yet recovered any proof of my birth..."", 'Please, friend. Make haste! This waiting about is torture! I know in my heart who I am, but with evidence I can prove my claim to all of Tamriel!', ""You've returned! So, have you been to Crowhaven? Have you... What's this? The Journal of Lord Lovidicus? My friend, you've done it!"", 'This is wonderful news! The words of the Lord Lovidicus himself! Perfect!', ""Ah, but I believe I owe you something, eh? Here, let me show you these moves. Step like this... Now strike.... All right, now parry... That's it!"", ""There you are, some of the best combat moves you'll ever learn! You'll need them if you want to last more than five seconds against me in the Arena."", ""Now let me see what this Journal says! Hmm... Interesting... But... I... I... Wait... Can this be? But... By Shinji, I'm the son of a vampire!"", 'I\'m no ""Gray Prince!"" I\'m the spawn of evil! I thought my father was a nobleman, not some blood-sucking monster! I... I can\'t... All a lie! A lie... ', ""The... the journal... my father's journal.... It says I'm... I'm part vampire! I thought my father was a nobleman, not some blood-sucking monster!"", 'My whole life has been nothing but a lie! I\'m no ""Gray Prince."" I\'m a vile, wretched spawn of evil! Please, leave me. I can\'t.... I...', ""The... the journal... my father's journal.... It says I'm... I'm part vampire! I thought my father was a nobleman, not some blood-sucking monster!"", 'My whole life has been nothing but a lie! I\'m no ""Gray Prince."" I\'m a vile, wretched spawn of evil! Please, leave me. I can\'t.... I...', ""Oh, but I see. You're a Champion... You want my Grand Champion title, is that it? Please, challenge me. In the Arena I can end my misery..."", ""Are you... Are you ready to fight? Go talk to Ysabel, let her know. Then we'll, um... You know, we'll meet in the Arena. And it will all be over..."", 'I grew up here in the Imperial City, but I was born elsewhere. My mother was a servant in the employ of Lord Lovidicus, and resided at his fortress.', 'Lady Lovidicus was a shrew of a woman. The Lord and my mother grew close, and ultimately fell in love. I was the result of their union.              ', 'When the Lady learned of my birth she was furious, and threatened to kill both my mother and me. So we fled, leaving my claim to nobility behind.', ""Oh! Oh, well of course. You have your own concerns, I'm sure, and I should not have imposed. Please excuse my indiscretion."", ""Yes, it's what everyone calls me. I guess I'm partly to blame. I've never made it a secret that I'm actually only half Orc. "", ""I am a Lord's son, yet I've been denied the noble privilege to which I am entitled. So I have become the Gray Prince, noble in my own right."", 'Still... If I could prove who I really am, and show the world that an Orc can be noble in blood as well as deed... Maybe... Yes! You could help me!', 'My mother died recently. Before she passed, she gave me this key, and told me it would ""unlock the truth,"" at the place of my birth, Crowhaven.', ""Crowhaven is a ruined fort far to the west of here. I'd go myself, but my training regiment doesn't allow for the luxury of such an excursion."", 'My friend, you must travel to Crowhaven and use the key to unlock whatever it is that holds the proof of my birthright!', ""Find this proof and return it to me, and I'll share with you some of my finest combat techniques. Trust me, you can't learn these moves in a book!"", ""Oh! Sorry, I didn't mean to ramble. Go to Crowhaven, to the west. Take this key. It unlocks... something that holds proof of my birth.        "", ""Find this proof and return it to me, and I'll share with you some of my finest combat techniques. Trust me, you can't learn these moves in a book!"", ""As I expected. I accept your challenge! Speak to Ysabel and let her know when you're ready, and I shall make for the Arena. Shinji be with us both!"", ""Yes. Yes... I accept your challenge. Go... Go speak with Ysabel. Tell her you're ready. Then we'll... We'll meet in the Arena. Yes, that'll do..."", ""Oh! Oh, well... All right then. I was hoping you'd complete your journey to Crowhaven first, but it is your right to challenge me."", ""I accept the challenge, of course. Speak with Ysabel, tell her you're ready. Then we'll meet in the Arena and prove our mettle as warriors."", ""You don't? Oh... Well, all right. I'm sorry, it's just that I fully expected a challenge! It is your right. If you change your mind, I'll be ready."", ""You don't? Oh... Well I can only hope you'll change your mind. In the Arena... Yes, in the Arena anything could happen. Anything..."", ""You don't? Oh! Well good! Very good indeed! Maybe after you've helped me out, eh? So please, make haste to Crowhaven! This waiting is unbearable!"", ""I'm the reigning Grand Champion of the Arena, you see. Once you become a Champion, you'll need to challenge me for my title."", ""It's a fight to the death, so if you progress that far and want a shot at the Grand Championship, you'll have to try and kill me.  ""]",NPC
