Title,Year,Country,Characters,Gender,Dialogues,Playability
Elder Scrolls Skyrim,2011,US, Vigilant Adalvald,Male,"[""I'll never tell you anything. My oath to Stendarr is stronger than any suffering you can inflict on me.""]",NPC
Elder Scrolls Skyrim,2011,US,Adril Arano,Male,"[""I don't recognize you, so I'll assume this is your first visit to Raven Rock, outlander. State your intentions."", ""Miraak...I...I'm not sure that I do."", ""You've picked one of the worst places in Morrowind to do that, but suit yourself."", ""That's the kind of attitude that's going to land you in prison, but I'll let it go for now. Just remember, Raven Rock is sovereign territory of House Redoran. This is Morrowind, not Skyrim. While you're here you will be expected to abide by our laws. Any questions?"", ""I...I'm unsure. I swear I know the name, but cannot place it."", ""I don't think so. I'm not... The name has something to do with the Earth Stone, I think. But I'm not sure what."", 'I have to be. As Second Councilor, the security of Raven Rock is my primary concern.', ""This isn't exactly the city of Blacklight. We're on the frontier here, and we've had more than a fair share of troubles. After all we've been through together, I refuse to let Councilor Morvayn down."", ""Councilor Morvayn is House Redoran's representative on Solstheim. As second councilor, it's my job to support him and make certain his rule is enforced."", ""Your ignorance of our homeland doesn't surprise me. It's the capital of Morrowind...been that way ever since Mournhold was sacked by the Argonians. I don't visit there often anymore, but we still get the occasional supply ship and visitors from there."", 'Quite a while ago, yes. They cut a bloody swath across most of the southern region of Morrowind. Nobody seems certain why it happened...an attempt at expansion, revenge for the enslavement of their people or perhaps both. Whatever the case may be, thousands of Dunmer needlessly lost their lives and many more were exiled from their homeland.', ""Raven Rock started out as an Imperial settlement, but the Empire chose to abandon it just as my people were first setting foot here. They left the town in shambles...but when House Redoran took over, we turned it around and it became ours. And even if it's been a struggle to make this island livable, we're proud to call it home. Remember, we're watching you.""]",NPC
Elder Scrolls Skyrim,2011,US,Aela the Huntress,Female,"[""• You handle yourself well. You could make for a decent Shield-Brother. • Well, that's taken care of. No thanks to you."", ""Certainly not. But a true warrior would have relished the opportunity to take on a giant. That's why I'm here with my Shield-Brothers."", 'Ha. Another milk drinker crying about his effort. Glory only awaits those who triumph. And as Companions, our glory must always be hard-fought.', 'An outsider, eh? Never heard of the Companions? An order of warriors. We are brothers and sisters in honor. And we show up to solve problems if the coin is good enough.', ""Not for me to say. You'll have to talk to Kodlak Whitemane up in Jorrvaskr. The old man's got a good sense for people. He can look in your eyes and tell your worth. If you go to him, good luck."", ""Well nobody asked you. If you think you're better than we are, go talk to Kodlak Whitemane. See what a warrior of true mettle is like."", ""Ah, good. I've been waiting for this. Are you new around here?"", 'Ah, yes. I heard you gave him quite a thrashing.', 'Do you think you could handle Vilkas in a real fight?', 'Ah, a man of action.', ""Whoa, ease up there. We're rough, but there's no need to kill a Shield-Brother over a dispute. I like your fire though. You'll make a fierce Companion. Let us hunt together sometime. Here, let's have Farkas show you where you'll be resting your head."", 'Of course we did, icebrain. Show this new blood where the rest of the whelps sleep.', ""Are you awake? I was starting to think you might never come back. Yours was not an easy transformation, but you're still alive. Congratulations. We even have a celebration planned for you. There's a pack of werewolf hunters camped nearby, at Gallows Rock. The Silver Hand. I think you've met them before. We're going to slaughter them. All of them. Lead on. Skjor's already scouting ahead."", 'You were born into the pack, brother. I almost envy you, that first time is always the most...intense. You gave us even more trouble than Farkas did in his first turning.', ""You have the blood in you. You'll need to build up your strength before you're able to call on it again, though. Just be careful where you do it. Some cowards in this land can't stand the sight of glory before them."", ""Nothing, until you choose to use it. Then, well...you got a taste. Stronger, faster. It doesn't last long, though. The blood of your foes can sustain you. If you're willing to feed. The more we feed, the greater our prowess will grow. We could perhaps discover even more gifts than Hircine."", ""Cure? Ha. You're sounding like the old man. I...I shouldn't say that. I love Kodlak. I respect and follow him. But he's wrong on this. It's no curse. We're made into the greatest hunters in the land. If he's worried about some mead-swilling afterlife in Sovngarde, he's free to pursue it. I'll take the glories of the hunt right here."", 'The Silver Hand have taken over the old fort at Gallows Rock. They always make such easy prey.', 'Look at this. Cowards must have locked the place down after Skjor charged in. You can taste the fear.', ""There's a dead one, isn't there. Thought so. Nobody we know, by the smell. Some can't separate the animal from themselves, go feral. This poor sod could have been anyone. We should keep moving."", 'No surprise they keep vermin around. Filthy squalor.', ""Nothing we can do for these ones now. Don't even want to think about what those cretins did to them before they died."", 'We\'re getting close now, be careful. Their leader is a tricky one. They call him ""The Skinner"". I don\'t think I need to tell you why.', ""The bastards...somehow they managed to kill Skjor. He's one of the strongest we had, but numbers can overwhelm. He should not have come without a Shield-Brother. Get out of here. I'm going to make sure we got the last of them, and see if there's any information to be gotten from the bodies. You and I have work to do. The Silver Hand will tremble at our sight."", ""And there is more work to be done, but I fear that Kodlak has gotten wind of our recent efforts. He's asked to see you. My advice? Always be honest with the old man, but don't tell him anything he doesn't need to know."", ""I'll do it. Before the ancient flame..."", 'His spirit is departed. Members of the Circle, let us withdraw to the Underforge, to grieve our last together.', 'Being moon-born is not so much of a curse as you might think, Vilkas.', 'And you avenged him.', ""You're right. It's what he wanted, and he deserved to have it."", '""There the souls of the Harbingers will heed the call of northern steel."" We can\'t even enter the tomb without Wuuthrad, and it\'s in pieces, like it has been for a thousand years.', 'Did I hear right? Did he say you were to lead the Companions?', ""You've earned the right. Your strength and honor are apparent to all."", ""I'm just surprised. But your strength and honor are apparent to all. And it's my honor to be first to address you as Harbinger. Let's go tell the others. Nocturnal's quests tie into the Thieves Guild questline, so check there for the full lowdown."", 'Get these things off me! Cowards! Stealing a woman from her home! For shame!', ""None of your damned business who I am! If you're going to kill me, just do it already! As Mara as my witness, if I didn't have this hood on right now I would spit right in your face..."", 'Excuse me? What kind of question is that?', ""I'm kneeling here with my hands bound and a sack over my head, and you have the gall to ask me that? What do you think, genius?"", 'I\'m a woman living in Skyrim with six children and no husband. I don\'t have the time or the patience to be ""nice"". Do some people look down on me? Have I made some enemies? You\'re damn right. I don\'t have time for this nonsense. I\'ve got a home to keep and children to feed. Now let me out of here!']",NPC
Elder Scrolls Skyrim,2011,US,Aeta,Female,"[""It can't be...please, All-Maker, send him back to us...""]",NPC
Elder Scrolls Skyrim,2011,US,Agmaer,Male,"[""Oh, hey there! You here to join the Dawnguard, too? Truth is, I'm a little nervous. I've never done anything like this before. I hope you don't mind if I walk up with you. Hey, uh, don't tell Isran I was afraid to meet him by himself. Not the best first impression for a new vampire hunter, I guess. You've probably killed lots of vampires, huh? I'm sure Isran will sign you right up. Not sure he'll take me. I hope so. That must be it. Fort Dawnguard... Wow. Bigger than I expected."", 'Where is everybody? This place looks almost deserted.', 'I guess this is it. Wish me luck.', ""I'm, uh...my name is Agmaer, sir."", 'Yes, si...Isran.', ""Uh, my weapon? I mostly just use my pa's axe, when wolves are attacking the goats or soemthing."", ""Uh, crossbow? I've never...""]",NPC
Elder Scrolls Skyrim,2011,US,Aicantar,Male,"['You heard me, captain -- our work must not be disturbed. Kill any intruders on sight. Call for backup if you need it. But let no one through.', ""Yes, I'm positive I heard something!"", ""I'll deal with my uncle. Just...go! Scour this place from top to bottom!""]",NPC
Elder Scrolls Skyrim,2011,US,Alain Dufont,Male,"[""Well. You must have all those annoying gods on your side to have made it this far, whoever you are. Even I have to admit, that's pretty impressive.""]",NPC
Elder Scrolls Skyrim,2011,US,Alduin,Male,"['Sahloknir! Ziil gro dovah ulse!', 'Sahloknir! Ziil gro dovah ulse! Slen Tiid Vo! This is worse than I thought...', 'Geh, Sahloknir, kaali mir.', ""Ful, losei Dovahkiin? Zu'u koraav nid nol dov do hi. You do not even know our tongue, do you? Such arrogance, to dare take for yourself the name of Dovah. Sahloknir, krii daar joorre."", ""Meyye! Tahrodiis aanne! Him hinde pah liiv! Zu'u hin daan!"", 'Nivahriin joorre! What have you done? What twisted Words have you created?! Tahrodiis Paarthurnax! My teeth to his neck! But first...dir ko maar. You will die in terror, knowing your final fate... To feed my power when I come for you in Sovngarde!', 'Faal Kel...?! Niikriinne...', 'Bahloki nahkip sillesejoor. My belly is full of the souls of your fellow mortals, Dovahkiin. Die now and await your fate in Sovngarde!', 'Suleyki mulaag, Paarthurnax. My power has waxed, while yours has waned.', 'You will pay for your defiance!', 'You may have picked up the weapons of my ancient foe, but you are not their equal!', 'Meyz mul, Dovahkiin. You have become strong. But I am Al-du-in, firstborn of Akatosh! Mulaagi zok lot! I cannot be slain here, by you or anyone else! You cannot prevail against me. I will outlast you... mortal!', 'Ven Mul Riik!', 'Ven Mul Riik!', 'Nust wo ni qilaan fen kos duuan.', 'You are persistent, Dovahkiin. Pruzeh ol aar. A fine slave you would have made.', ""Zu'u unslaad! zu'u nis oblaan!""]",NPC
Elder Scrolls Skyrim,2011,US,Alexia Vici,Female,['No! Noooooo!'],NPC
Elder Scrolls Skyrim,2011,US,Alvor,Male,"[""Hadvar? What are you doing here? Are you on leave from... Shor's bones, what happened to you, boy? Are you in some kind of trouble?"", ""What's going on? And who's this?"", 'Okay, okay. Come inside, then. Sigrid will get you something to eat and you can tell me all about it.', 'Sigrid! We have company!', ""Now, then, boy. What's the big mystery? What were you doing, looking like you lost an argument with a cave bear?"", ""A dragon? That's...ridiculous. You aren't drunk, are you, boy?"", ""Of course! Any friend of Hadvar's is a friend of mine. I'm glad to help in any way I can. Like I said, I'm glad to help. But I need your help. We need your help. The Jarl needs to know there's a dragon on the loose. Riverwood is defenseless... We need to get word to Jarl Balgruuf in Whiterun to send whatever soldiers he can. If you'll do that for me, I'll be in your debt."", 'Well, I better get back to work. You two can make yourselves at home.']",NPC
