Title,Year,Country,Characters,Gender,Dialogues,Playability
Final Fantasy X,2001,Japan,Abus,Male,"[""Looks like our gals are brewing up something back there. I'd be afraid if I were you."", 'They say you come from the ruins. Hehehe ... The Aurochs gotta be desperate to depend on some wacko.', ""We thought you'd be a pushover. You Aurochs have sure improved!"", 'Another tournament, another victory ... But no parade, thanks to those fiends.', ""I'm grateful that the warrior monks are here to protect Luca, but aren't there a few too many?"", 'Rumor has it that you guys are traitors. Some people sure talk rubbish.']",NPC
Final Fantasy X,2001,Japan,Argai Ronso,Male,"['We swore victory on our horns and lost. We cannot go home until we win the cup.', ""Ronso are pious race. But still, we respect Crusaders' courage."", 'If Ronso Fangs win, our brothers on the Farplane will rejoice.']",NPC
Final Fantasy X,2001,Japan,Auda Guado,Female,"['Since embracing Yevon, we Guado have learned the joy that is blitzball.', 'I hope that the people of Spira will find peace through blitzball.', ""I want to congratulate Lord Seymour on his marriage by blitzing like nobody's blitzed before."", 'Guadosalam is a natural stronghold. No fiends will find their way in here.', ""Lord Seymour's aeon destroyed the fiends that appeared in Luca Stadium. That display of Lord Seymour's raw power struck me speechless. But it was all a show. I feel so ... I'm sorry. I cannot put it into words.""]",NPC
Final Fantasy X,2001,Japan,Auron,Male,"['Look!', 'Take it.', 'A gift from Jecht.', 'I hope you know how to use it.', ""These ones don't matter. We cut through!"", ""Don't bother going after all of them. Cut the ones that matter, and run!"", ""Some can't wait to die!"", ""We're expected."", 'Hmph. This could be bad.', ""Trust me. You'll see."", 'Go!', '(Looks at Sin) You are sure?', 'This is it. This is your story. It all begins here.', 'It was a bad call. Your team lost because of you.', ""It's been ... ten years. I thought you'd be crying."", 'Yeah.', ""That's correct."", 'Nothing impossible about it. Jecht, Braska and I ... Together we defeated Sin ten years ago. Then I went to Zanarkand ... where I watched over you. So that one day I could bring you to Spira.', 'Jecht asked me to.', 'It depends on what you mean by ""alive."" He is no longer human. But then ... I felt something of Jecht, there in that shell ... couldn\'t you? You must have felt him when you came in contact with Sin.', 'It is. Sin is Jecht.', ""But it is the truth. You'll see for yourself. Come with me."", 'Every story must have an ending.', ""(Unsympathetically) I see. Sorry you feel that way. Fine, then. Come or don't come. It's your decision."", 'Irritating, I know. Or are you afraid?', ""(Sets a hand on his shoulder, speaks more gently) It's all right."", ""That's up to Jecht."", ""I'm going to offer my services to Yuna. Come."", 'Yuna.', 'I wish to become your guardian. Do you accept?', 'You refuse?', 'I promised Braska.', 'This one I promised Jecht.', ""Can't say. Haven't seen him in ten years."", ""You'll meet eventually."", ""(Scans them, zeroes in on Lulu) What's our itinerary? Where are we headed?"", ""Remember, you're suffering from Sin's toxin. Don't say otherwise."", ""It's also tough. Let me handle this."", 'Why?', ""Let them use whatever they want. They still won't defeat Sin."", 'We rest here.', 'Is that a problem?', 'Where were her guardians?', 'Well I am.', 'She means the ruins of a city destroyed a thousand years ago.', ""You'll see it for yourself soon enough."", 'Yuna, come back inside.', ""That's our cue, let's go."", ""So, we're to be pushed off a cliff."", 'Attack now! Push it back!', '(Dryly) Now I know I can count on you.', ""It was your idea to fight that thing. If you're always so groggy, just stay awake."", 'Ask him yourself.', 'Let him go. The man has already chosen his path ... As you did when you became a summoner.', 'If you want to prove yourself ...', 'first you must complete the tasks you are given.', '...', ""We don't have time for this now, do we?"", '(Mutters) That Kinoc, a maester?', 'Fulfilling a promise I made to a friend. I still am.', 'Go to Yuna.', ""You won't have to. It'll come."", 'So the arms are for defense.', ""It's going to attack. Aim for the head!"", 'Look out!', ""(Standing nearby) I see you're still here."", 'Many stories ended here today ... But ...', 'Yours goes on, I see.', 'A swift retreat. Satisfied?', 'Those who turned from Yevon died, while the faithful live on.', 'Sin is Jecht.', 'Sin is Jecht. He came here for you.', ""That's what Sin does. He wanted to show that to you. Do you know why?"", 'So you would kill him. As long as he is Sin, Jecht will keep killing. He wants you to stop him.', ""You're the one running."", 'Hey, new guy.', 'Who else?', ""Don't tell Yuna you know about Sin and Jecht."", 'You know her ... She would ... distance herself from you. We do not want that.', 'Yuna would.', 'Better than you finding out at a critical moment, becoming emotional.', '(Chuckles) I heard you were quite the crybaby.', ""So you're a champion of Yevon now, Braska?"", 'Stop pacing around. Be calm, and wait.', 'What of it?', 'Get ready for the journey ahead.', 'Once Lady Yuna fixes her hair, we leave!', 'Zzzz ...', ""They aren't just disappearing into thin air."", ""We're not waiting till nightfall."", 'Ten years ago ...', 'Jecht saw his first shoopuf here. Surprised, he drew his blade and struck it.', 'He was drunk ... Thought it was a fiend.', ""We offered all the money we had as an apology. Jecht never drank again. But, it would seem that shoopuf still works here. Even after ten years, Spira hasn't changed. Truly ... The place seems to resist change. It would take something unusual. Don't let the peaceful scenery fool you. Be on guard at all times."", '(To Yuna) Sit down!', 'Yuna!', 'Guard Yuna.', '( Strides over to Rikku) Show me your face. Look at me.', 'Open your eyes.', 'As I thought.', 'Are you certain?', 'If Yuna wishes it.', 'Stay close to Yuna.', 'Stay on your guard.', 'Those with power use that power. Maesters have power.', '(Dark chuckle) I lived a long time in Zanarkand.', 'What is taking them so long?', 'Please, keep this short. Yuna must rush.', 'You know what Yuna must do.', ""Spira is no playhouse. A moment's diversion may amuse an audience, but it changes nothing."", 'We will do so, then.', 'We leave.', 'Like Braska before you.', 'I do not belong there.', 'Searching the past to find the future ... This is all that is there. I need it not.', ""You'd better be going."", ""You're still here?"", 'Is she all right?', ""If she dies, I wouldn't know what to do."", 'I apologize.', 'He does not belong here.', 'Yuna, send him.', '(Gets up, sounds ragged) Talk later. We leave now.', 'It means he died an unclean death.', ""Yuna! Jyscal is the Guado's problem, not yours."", ""We leave as soon as Yuna returns. I trust you'll be ready."", 'Yuna, what is it?', ""Hmm ... You're a poor liar."", 'Nice knowing you.', 'This storm never stops. Better to cross quickly.', ""Fine, we rest. She's worse than the storm."", ""(Chuckles) It's not easy being a guardian to one so young. This is going to be some journey."", 'Yes, I should thank you.', ""I'd rather ... drop that subject, Rin."", ""Don't tell me you were hoping it would."", '(Turns towards nearby shelter) Over there.', ""That's not good enough."", 'Show me.', '(Turns away) As you wish.', 'Just one thing.', 'Then it is ... fine.', ""No, I'm not. As long as she is willing to face Sin ... all else is her concern. That is a summoner's privilege. As long as she journeys."", ""Next, we're going to Macalania Temple. Yuna can talk with Seymour there. We guardians will wait until they're done, and plan our next move. Understood?"", ""You're worried about Yuna."", 'The simplest answer would be ... in exchange for agreeing to marry him ... she hopes to negotiate with Seymour.', 'I wonder.', ""(Chuckles) She's strong, but Seymour is the better negotiator."", 'Yuna wants it this way.', ""On the contrary ... She doesn't want us caught up in whatever it is that she's planning."", ""That's the way she is. She's naive, serious to a fault, and doesn't ask for help."", ""Yuna's easy to read."", 'But hard to guard. Stand by her, always.', 'Calm down.', 'Running around in a panic is not going to help. Right now, you have to keep cool, and search.', 'Guard your emotions, then guard your summoner.', 'Shall we search?', 'Wait. It is here ... somewhere.', 'Something you should see.', ""It won't take long."", ""This is what spheres are made of. It absorbs and preserves people's memories."", 'Fiends are also attracted to these places.', 'Jecht left it here ten years ago. (All gasp) Play it back.', 'What are you taking?', 'This is no pleasure cruise!', 'Jecht ...', ""Lord Braska ... We shouldn't be wasting our time like this!"", '(Growl) Let me tell you what the hurry is!', 'He was serious. Jecht had already accepted his fate.', ""Jecht ... He ... He was always talking about going home, to Zanarkand. That's why he took all those pictures–to show them to you when he returned. But as he journeyed with us and came to understand Spira, and Braska's resolve ... It happened gradually, but Jecht changed. He decided he would join Braska in his fight against Sin."", 'That was his decision.', 'Wait.', 'Jecht loved you.', ""He just didn't know how to express it, he said."", 'I just thought you should know.', 'Anything can happen.', 'There is a saying ""Hurry up and wait."" It means, prepare quickly so you\'re ready for whatever comes next.', '(Irritably) Forgive me.', ""We're all with you. Do as you will."", '(To Tidus) Sorry.', 'That was your line.', 'Stand backt.', 'Rikku!', 'Will this move?', 'Let him go. Give him time to think.', 'What?', ""Hmph. Just don't do anything rash."", ""I'm saying you should not complicate matters. Or you'll find yourself trapped, understand?"", 'Make mistakes.', ""That's what youth is for after all. Do not waste it."", 'She is a guardian.', ""And that's all one needs to be a guardian."", 'This may well answer a few questions.', 'Wonderful.', 'Without us, no.', ""Kimahri's up ahead. Go."", '(To Wakka) We will protect Yuna from anyone. Even a maester.', 'You killed him.', 'Yuna. Send him.', ""It won't be that easy. Let's get out of here."", 'Give us a chance to explain.', 'Meaning ... ?', '(Dashes back) Where are you going? This way! Hurry up!', 'What now, I wonder.', 'A lecture?', ""You should place trust in your friends. But you can't expect someone to protect you all the time. You would do well to remember that."", ""It's advice."", 'Young summoners are magnets for trouble. The Hymn, hmm ...', 'Enough. Dwelling in the past is futile.', 'You want to waste time listening to her regrets?', ""Our immediate concern is Yuna's pilgrimage. Are you willing to go on?"", 'The fayth are the ones that give power to the summoners. Not the temples or the teachings. If the temples try to stop us ... then we will defy Yevon if we must.', 'So it is decided.', 'I am the troublemaker, after all.', 'I never asked you to follow me.', 'Jecht used to sing this song ...', 'Another trait you share.', 'Your singing reminded me of Spira.', 'Maybe.', '...', 'We should get moving soon.', 'The ground!', 'Need some help?', ""(Arrives) Hmph. Let's go."", ""Where's Yuna?"", 'The price for protecting summoners.', ""Whether Yuna's safe or not, there's trouble brewing."", 'After rescuing Yuna, then what? You want to keep her safe, correct? Would you seek to stop her pilgrimage?', 'Even against her will?', 'You are the captain.', 'Let him say what he wants.', 'He is dead. As dead as Jyscal was. His attachment to this world kept him from the next.', 'Yuna must be trying to send him.', ""Perhaps he won't expect it."", ""Bevelle ... It's been ten years."", ""Huh, now there's a rare sight."", 'The red carpet has teeth.', 'The ferryman asks a high price.', 'Open the hatch. We fight.', 'Many summoners stray from their path and lose their way here.', 'What of Bevelle?', 'Convenient. Getting around will be easier with Yevon in disarray.', 'Messy.', 'Yevon. Mika and Seymour are not of one mind. Remember what Seymour said last we met. I do not think Mika will concur. If Yevon founders, so will Spira.', 'With no fayth, summoners cannot train. Without training, they cannot call the Final Aeon. Without the Final Aeon, they cannot defeat Sin. That is why.', 'But still, you guard Gagazet as a Ronso, not a maester. Yuna is much the same.', 'It is as I thought.', 'Yevon is in turmoil. Mika tries to keep it whole, but it crumbles around him.', 'Because you are not of this world. To those who truly believe in the teachings ... a time of much pain is coming.', 'Ten years ago, I looked up at Gagazet from where we stand now.', 'I do not remember. All I could think of was how ... how I might keep Braska alive.', 'Your duties as guardian will soon end.', 'Lies. Forget them.', ""We're leaving."", ""We'll learn when we arrive. Soon."", 'Look not to others for knowledge. This is your journey, too.', ""They'll be upon us soon. She has sent fiends to test our summoner's strength."", 'Yunalesca.', 'In Zanarkand, she awaits the arrival of the strongest.', 'As much as Mika and Seymour.', 'Lost your nerve?', 'Braska would be proud.', 'It comes!', 'No need. We reach the summit soon.', 'You remind me of myself. Before, the closer I came to Zanarkand, the more I wondered ... when we arrive, Braska will call the Final Aeon ... He will fight Sin, then die. I thought my mind was made up long before. But when I stood here, my resolve wavered.', '(Snort) Legendary guardian? I was just a boy. A boy about your age, actually. I wanted to change the world, too. But I changed nothing. That is my story.', 'Close enough.', 'Our predecessors.', ""This dome is filled with pyreflies. It's like one gigantic sphere. People's thoughts remain here. Forever."", ""Well, I haven't! Lord Braska, let us go back! I don't want to see you ... die!"", 'Yes, but I ... I cannot accept it.', ""Yuna ... We're here."", 'Go.', 'Yes.', 'If I had told you the truth, would that really have stopped you from coming?', 'It is not too late! Let us turn back!', 'But ... my lord, there must be another way!', ""Don't do this, Jecht! If you live ... there may be another way! We'll think of something, I know!"", 'Lord Braska! Jecht!', 'Sin always comes back. It comes back after the Calm every time! The cycle will continue and your deaths will mean nothing!', 'You ... have a plan?', 'And the cycle went on.', ""No! Where is the sense in all this? Braska believed in Yevon's teachings and died for them! Jecht believed in Braska and gave his life for him!"", 'Now! This is it! Now is the time to choose! Die and be free of pain or live and fight your sorrow! Now is the time to shape your stories! Your fate is in your hands!', 'We must talk.', 'There is something you should know.', 'I am also an unsent. You are not surprised?', ""When Braska and Jecht died defeating Sin ... I just couldn't accept it. I came back here ... tried to avenge them. But she struck me down. Somehow I made my way, crawling, down Mount Gagazet. But my strength left me just outside Bevelle. That's where Kimahri found me. I told him about Yuna ... just before I died. I've been wandering ever since, never going to the Farplane."", ""Don't make that face. Being dead has its advantages. I was able to ride Sin and go to your Zanarkand."", 'It is one of those things that is difficult to explain. Very well, I will show you. My memories.', 'Out with it!', 'But how am I supposed to go to Zanarkand?', ""All right, I will! I give you my word. I'll take care of your son. I'll guard him with my life."", '(Resolidifying) That is why.', 'Well? Any good ideas?', 'What do we know ... Sin is Jecht. Thus, you have a link ... a bond with Sin. That may be our key.', 'Rush this and we lose everything. We need to plan carefully.', ""Let's see what Mika does now."", 'My lord?', 'You have my word. I will bring her here.', 'Back the way we came. Then we go north from Bevelle and climb Mt. Gagazet.', 'So the legends say. No one knows for sure. It still could be your Zanarkand.', ""Yeah. But I don't understand why you wanted me to. Didn't you say you have blitzball in your Zanarkand?"", 'I told you this was a waste of time.', ""I guess you're right."", 'Right!', 'Thanks for everything, Kinoc.', ""That, I will. And you'll be busy, too. I heard they made you second-in-command."", 'You make it sound as if I was going to die or something. I will see you again.', 'Well, then ...', 'Mm. (Nods) Farewell.', ""So you don't do anything stupid again. I can't believe you attacked that shoopuf. Lord Braska had to pay the handler for damages from his own travel money."", ""Ah, a promise? Which you'll forget come tomorrow!"", ""That's on the record."", 'Scared?', ""That was not Omega. Just a shadow, born from Omega's wrath."", 'It seems we rate his personal attention, now.', 'Find your peace on the Farplane. Leave Spira to the living.', 'Send her.', 'Short on believers?', ""Simple. Yuna has become Mika's only hope."", 'Summoners and guardians will be sacrificed for the Final Summoning no more!', 'The grand maester, running away?', ""He's not here yet. How long must we wait?"", 'Hmph. I see.', ""I must admit I was worried at the beginning, but you've done well. One more trial to pass. Our stories will end together. Don't keep Jecht waiting. He never was a patient man."", 'Foolhardy ... But a fun plan.', ""This isn't over. Not yet."", ""Jecht ... He's waiting for you."", 'My story must end as well.', 'We must go to him.', ""I'd like to meet Jecht before he fades away. When this is over, I will leave. I have played at life too long. Ten years ago ... I honored Jecht's last words, and travelled to Zanarkand. I planned to stay there, watching over you. But when Sin attacked Zanarkand that day, I changed my mind. Outside the dream world, life can be harsh—even cruel. But it is life. He wanted you to have a shot at life. I saw it in Sin's eyes. That's why I brought you here, to Spira."", 'I know.', ""Don't stop."", ""It's all right."", ""It's been long enough."", 'This is your world now.', 'Scared?', ""That was not Omega. Just a shadow, born from Omega's wrath."", 'It seems we rate his personal attention, now.', 'Find your peace on the Farplane. Leave Spira to the living.', 'Send her.', ""Hmph! Let's go."", '(Trots into view) Watch your tongue, knave.', 'But I must protest ... This drunkard a guardian?', 'Braska, sir ...', 'Thanks for everything, Kinoc.', ""That, I will. And you'll be busy, too. I heard they made you second-in-command."", 'You make it sound as if I was going to die or something. I will see you again.', 'Well, then ...', 'Mm. (Nods) Farewell.', 'What are you taking?', 'This is no pleasure cruise!', 'Jecht ...', ""Lord Braska ... We shouldn't be wasting our time like this!"", '(Growl) Let me tell you what the hurry is!', ""Yeah. But I don't understand why you wanted me to. Didn't you say you have blitzball in your Zanarkand?"", 'I told you this was a waste of time.', ""I guess you're right."", 'Right!', ""So you don't do anything stupid again. I can't believe you attacked that shoopuf. Lord Braska had to pay the handler for damages from his own travel money."", ""Ah, a promise? Which you'll forget come tomorrow!"", ""That's on the record."", '(Irritated) Why am I doing this?', 'What do you see there, my lord?', ""Now there's a scene for posterity!"", 'Back the way we came. Then we go north from Bevelle and climb Mt. Gagazet.', 'So the legends say. No one knows for sure. It still could be your Zanarkand.', 'My lord?', 'You have my word. I will bring her here.']",PC
Final Fantasy X,2001,Japan,Balgerda,Female,"[""My, you're kinda cute, too. Wanna have some fun?"", 'What? You want to hang out with us? Hmm ... Maybe later.', 'How could we lose to the Aurochs, of all teams? This is a disgrace!', ""Had enough? Come back when you're a man."", 'So many warrior monks watch the games. Have they no sense of duty?', ""What in Spira's name is the temple thinking these days?""]",NPC
Final Fantasy X,2001,Japan,Barthello,Male,"['You are ... Auron, no?', ""Can ... I shake your hand? Auron–no, Sir Auron. You're the reason I became a guardian!"", 'Thank you, sir! This means so much to me!', ""I swear, I'll never wash this hand again!"", 'I met Sir Auron! THE Sir Auron!', 'Hey! You, have you seen Dona?', ""We got separated on the way here. Damn it all! I've got to find her!"", 'But, if anything happens to her ...', ""You're right.""]",NPC
Final Fantasy X,2001,Japan,Basik Ronso,Male,"['Best of luck to the Besaid Aurochs. The Ronso Fangs will be waiting.', 'The Ronso Fangs grow stronger each day. One day, we will beat the Luca Goers.', 'Ronso shed no tear when brothers die. Pain and sorrow will never conquer mighty Ronso spirit.']",NPC
Final Fantasy X,2001,Japan,Belgemine,Female,"['Ah, a summoner party.', 'My name is Belgemine. You are ... ?', ""Ah, the high summoner's daughter. I've heard much of you. But you are still fresh on the road, are you not?"", 'I might have a few things to teach you.', 'Let us see which are stronger. My aeons or yours. A one-on-one match. Not to the death, of course. What do you say?', ""Well, it's your decision."", 'Tell me if you change your mind. Have you changed your mind? You wish to train?', ""Good. Before we begin ... (Sparkle) Your aeons have been healed. You can fight with your full strength. Come. (Summons Ifrit) Show me how strong of a link you've forged with your aeons."", 'Stop. That is enough.', ""Not bad for one so young. I underestimated you. Take this. You've earned it."", 'You need more training. But you did well.', 'You show promise. With more training, you could defeat Sin.', 'I cannot.', 'Or should I say ... I was not able to.', 'We meet again.', ""I heard you took part in Operation Mi'ihen. You've seen that machina aren't the answer. In the end, only summoners can hope to defeat Sin."", 'I can help with that, if you like. I propose a contest of aeons. A friendly contest, of course.', ""As you wish. A pity, though. I'm ready anytime, if you change your mind."", ""That's the spirit! But before we begin ... (sparkle) I have healed your aeons. Well, shall we? (Summons Ixion) Call whichever aeon you want."", ""Don't hold anything back! Show me what you've learned."", 'Stop. That is enough.', ""You're good. You bested me fairly. Here, your prize. Go on, take it."", 'You have a lot to learn.', 'Still wet behind the ears, but you have spirit. Here, your prize. Go on, take it.', 'Study, Yuna, and grow strong.', ""Oh, you again. You're quite the notorious traitor these days."", ""(Chuckles) Ah, you shouldn't take what the maesters say too seriously. For summoners, destroying Sin is everything. We are no tools of Yevon, understand?"", 'So, are you up to the task?', ""You've got spirit, but you'll need more to beat Sin. An aeon duel! Show me what you're made of."", 'No time to fight? I understand. I was in your shoes once. Hmm? Changed your mind?', ""Excellent. But before we begin ... (Sparkle) I've just healed your aeons for you. Let us begin! (Summons Shiva) Choose your aeon well, summoner."", 'Stop. That is enough.', 'Impressive. Remarkable talent. Traitor or no, you may have what it takes to beat Sin. Take this. You have earned it.', 'I think you will do just fine. But, if you ever feel like you want more training, seek the hidden temple of Remiem. I will be waiting there. Farewell.', 'You have a lot to learn.', 'I hope you will do better against Sin, for your sake. You need more training. That much is clear, summoner.', ""The hidden temple, Remiem. I'll be waiting. Come, and I will train you."", 'Focus, and grow strong, Yuna. Farewell.', 'Welcome, Yuna.', 'Remiem Temple. Once a great religious center in the Calm Lands, lost after the battle with Sin.', ""Don't send me just yet. There is still one thing left for me to do here. With the help I can give, a young summoner might just be able to defeat Sin. Well, Yuna?"", ""I challenge you if you cannot beat me, you'll never beat Sin."", ""If you've got what it takes to beat Sin, I should be no more than a bump in your path, right?"", ""I will be the judge of your aeons' strength. Are you good enough, I wonder?"", ""You've got quite a name to live up to, daughter of Braska."", 'Well, Yuna, shall we see how well your training serves you?', 'Very well. But before we begin ... (Sparkle) Now, are you ready?', 'Choose your aeon well, summoner.', 'You have a lot to learn.', 'Stop. That is enough.', ""Ah, you have made some progress, and for that, I'm glad. Take this. It may come in handy."", 'Hmm ... I see.', ""(Chuckles) That's not possible. You have already surpassed your father. There is nothing more I can teach you. My work here on Spira is done. Time for me to go."", 'Welcome, Yuna.', 'Remiem Temple. Once a great religious center in the Calm Lands, lost after the battle with Sin.', ""Don't send me just yet. There is still one thing left for me to do here. With the help I can give, a young summoner might just be able to defeat Sin. Well, Yuna?"", ""I challenge you if you cannot beat me, you'll never beat Sin."", ""If you've got what it takes to beat Sin, I should be no more than a bump in your path, right?"", ""I will be the judge of your aeons' strength. Are you good enough, I wonder?"", ""You've got quite a name to live up to, daughter of Braska."", 'Well, Yuna, shall we see how well your training serves you?', 'Very well. But before we begin ... (Sparkle) Now, are you ready?', 'Choose your aeon well, summoner.', 'You have a lot to learn.', 'Stop. That is enough.', ""Ah, you have made some progress, and for that, I'm glad. Take this. It may come in handy."", 'Hmm ... I see.', ""(Chuckles) That's not possible. You have already surpassed your father. There is nothing more I can teach you. My work here on Spira is done. Time for me to go.""]",NPC
Final Fantasy X,2001,Japan,Berrik,Male,"['A lady summoner!', 'Forgive me for my actions in Luca. We wanted to protect the summoner, you see?', 'Yevon found the place of our Home. Perhaps we were followed?', 'Yevon found the place of our Home. Perhaps we were followed?', 'My friend, he went to Baaj to explore. He told a story ... In the deserted temple there, faintly the Hymn of the Fayth can be heard! Maybe it has something to do with the aeons I think. Baaj is a place of mystery. Mystery worth exploring, no? In ancient times a temple was in Baaj. Now it is a nest for fiend only. There is great treasure in the deserted temple, they say. But a great fiend lives there too, and guards the treasure.', 'I have faith you will do this thing. I will sing, too, for I believe.', 'When the battle is over, we will play blitz once more!']",NPC
Final Fantasy X,2001,Japan,Bickson,Male,"['Us? Pray? Who needs to pray? The Luca Goers always win!', 'So what\'s your goal this time? You gonna ""do your best"" again? Ha! It\'s too bad your best isn\'t good enough! Why even bother showing up?', 'Oooh! Play away! Just remember even kids can play, boys.', 'Who are you supposed to be?', 'Hmm?', ""Oh, right. You're that idiot."", ""But he is an idiot. They don't got what it takes to win the cup."", ""That so? Then you're the star of a team of one."", 'Right. Whatever your Ladyship says.', 'Yo, mister star player from Zanarkand! Take it easy on us today.', ""Our biggest mistake was going too easy on you Aurochs. We won't hold back next time."", 'We Luca Goers will always be on top. Crawl your way up if you think you can.', 'The Goers must always dominate. After all, our fans demand nothing less!', ""Whether you're a traitor or not means nothing in the sphere pool.""]",NPC
