Title,Year,Country,Characters,Gender,Dialogues,Playability
Final Fantasy XII,2006,Japan,Ada,Female,"['The Nebra is one of the greatest rivers in Dalmasca. She carries strange gifts, for those with eyes to look. Discarded trinkets, lost coin purses ... even messages in bottles have I found on my daily walks of her banks.', 'I was walking along the riverbank when I saw it - a boat set adrift from the north bank. Of course I told everyone as soon as I could. No good can come of this ...', ""I can't believe the cactoids would attack the village. I've never seen anything like it.""]",NPC
Final Fantasy XII,2006,Japan,Adair,Female,"[""You're a spirited one to walk these mountain roads, boy. Misplaced your airship, perhaps? Ha ha ha! About the only ones traveling on foot these days are those without two coins to rub together, dyed-in-the-wool travelers, or else ... But I don't mean to pry, and I won't. Going to Archadia? You'll want to cross the mountains to the north, then go east through the forest."", ""I'll admit, when the water started flowing from the shrine, I was quite surprised. Take a look, boy, it's quite beautiful. That one over there, he's come all the way from Archades to visit this shrine and learn its secrets.""]",NPC
Final Fantasy XII,2006,Japan,Aekom,Female,"['Today all work in the mines had stopped, bhadra. An inspection party has come from Archadia, yes. They have brought many guards. There is no need for our guild of bodyguards, the parivir.', 'The one with the shiny armor, he was a Judge of Archadia, yes? Haa ... More impressive than ever I imagined, he was! The Marquis must do as they say.', 'They say that those who lost their jobs when the mines closed are to receive a pension. What about we parivir? Do those who guard the workers not deserve the same treatment?']",NPC
Final Fantasy XII,2006,Japan,Agytha,Female,"[""Oi! That ain't no way to be lookin' at a bird! Betta stay away if ya don't fancy a peckin'! I need me grub if I'm gonna make summink o' meself. An' I betta start makin' summink o' meself soon, while I still got me feathers, innit. Yeah, you 'eard me. Cockatrices can make summink o' theirselves, and I'll prove it. I'll be one o' them belly-wethers, you see if I won't. Dunno 'ow though ... 'Ang about! Wot if I was to find a proper classy fella an' get 'itched? Yeah! That oughta do it! That'd do it, no trouble! Now then ... 'ow'd I find a classy mate?"", 'Oh really!?', ""In Ol'town, yer say!? Well, 'e does sound classy. I bet 'e's a right toff, wiv blue blood an' ev'ryfink! Prob'ly down in Ol' Archades 'elpin' the poor or summink. Ta very much, darlin'! Well, I'd betta get off an' meet this 'an'some 'unk then, 'adn't I!? Ta-ra!"", ""'Ave this fer ya trouble, will ya? Go on! Don't be shy! Take it! Take it 'fore I change me mind!"", ""Right, then! If yer come back when I've made summink o' meself, I'll sort ya out, awright? Make yer a senator or summink! Naahahahaha!"", ""Good luck!? Wiv feathers like these, I don't need luck, darlin'. All I need's a posh cock wiv a workin' pair of eyes!"", ""Cor blimey! You're that bloke from Archades, intcha!? Well, don't go nowhere, will ya!? I've got a tragic tale wot needs tellin'. Yer ain't gonna believe this, but that cock wot you set me up wiv in Old Archades ... was only me very own dad! 'E'd vanished when I was scarcely an 'atchlin', see ... I never dreamt 'e'd got taken off to the likes o' that place. 'Is ol' legs was givin' out, but I wanted 'im to see the 'omestead jus' once more. But 'e ... 'e di'nt make it ... (sniff) I-I can't 'old it in no longer! It's gotta come out! Dad!!! Me poor ol' dad! Waaaaaah! Waaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhh!! It's ... it's ... Me poor ol' dad! I don't know 'ow I'm ever gonna get over this, I really don't ... But ... wotever 'appens ... I ain't gonna let nuffink stand in me way ... 'cos one day ... I'm gonna make summink o' meself!""]",NPC
Final Fantasy XII,2006,Japan,Al-Cid Margrace,Male,"['I do not suppose this is something you might... reconsider?', 'My little emperor-in-waiting. You called and I have come.', ""I am but one of very, very many. Try as I might, I could not stop this war alone ... thus I came seeking Larsa's assistance."", 'Al-Cid Margrace, at your service. To think I stand before the Lady Ashe. It is truly an honor.', ""I see it is true after all. Ah, stunning is Dalmasca's desert bloom."", 'Hah, Gran Kiltias! You speak much of dreams. But in the real world, war is upon us.', ""A word from you and the Resistance would stop cold ... and Rozarria's pretext for joining the war ... scattered, off to the four winds. This was what we had hoped. Alas, circumstances change. A full two years have passed since your reported death. Were it to become known you were still alive ... I fear it could only worsen our current situation."", 'Nay, in fact it has little to do with you.', 'The Emperor Gramis is no more. His life was taken.', 'Let us suppose you approach the Empire with a peaceful resolution. The Late Emperor Gramis would have lent you his ear, that much is certain. But we are dealing with Vayne Solidor. Should the Princess return, he would claim her an imposter. All to tempt the Resistance into battle. Vayne wants this war, that much is certain. As our ill luck would have it, the man is a military genius.', ""Archadia's banners fly high. They are making ready for the coming war. According to our latest reports ..."", ""The Western Armada prepares for war, under Vayne's command no less. The newly formed 12th Fleet has already been deployed. The Imperial 1st Fleet stands ready. They'll be under way as soon as the Odin's refit is complete. And there is more: the 2nd Kerwon Expeditionary Force is being called in ... to replace the missing 8th, so there will be no gaps."", 'The largest force ever seen!', ""Larsa has gone to the inner sanctum with the Gran Kiltias. I believe the news of the Emperor's assassination came as something of a shock. Was I overly direct, perhaps? No matter, he is in good hands now."", 'Gone. Spirited away by Judge Gabranth.', 'Ah, as for our young lordling, he went along - to avoid trouble, you see. But Judge Bergan had other ideas. He flew into a rage, and I was left to fend for myself.', 'Please, Princess, you must permit me to take you back with me to Rozarria.', 'I would lay down my life at a single word to be sure ... but I harbor no maundering delusions of valiant grandeur. Vayne has our War Pavilion jumping at shadows. They favor a pre-emptive strike. But you - you will convince them otherwise. You will see that they do not start this war.', 'Ah, this Stone. Do you even know where it is?', 'My leave I take.']",NPC
Final Fantasy XII,2006,Japan,Alja,Female,"['It is Mjrn you seek? She is usually just beyond this bridge, but I tell you now, you search in vain. I should not think she would even know who you are.', 'Golmore Jungle has blessed us with a new herb, and we must decide how best it might be used to enrich our medicines. It is a matter beyond your understanding. I would thank you to interrupt us no further.', 'We discuss the effect different methods of storage have on herbal potency. Do matters so beyond your grasp nonetheless hold interest for you?', 'Would you know more of the Wood? The life that burgeons in Her must be shown the proper respect. Beauty seldom comes without danger. To one who walks in ignorance, the Wood can seem dark, Her life promising naught but death.']",NPC
Final Fantasy XII,2006,Japan,Anastasis,Male,"['No, my child. I do not sleep. I dream. For reality and illusion are a duality, two parts of a whole. Only the mirror of dreams reflects what is true.', 'Lay down your words. Ashelia, daughter of Raminas, I have dreamt your dream. Who better to carry on the Dalmascan line than she who bears the Dawn Shard? Your dream of a kingdom restored is known to me.', 'In Archadia, Larsa. In Rozarria, Al-Cid. They dream not of war. Should empire join with empire, the way will open for a new Ivalice in our time.', ""The dreams have told me thus. To reveal yourself would imperil us all. I see war, and Vayne's name writ bold on history's page."", 'It is the nethicite of which you dream?', 'To wield power against power. Truly the words of a hume-child.', 'Indeed. Then you have but one choice. Seek you the other power Raithwall left.', 'Journey across the Paramina Rift to the Stilshrine of Miriam. There rests the gift he entrusted to the Gran Kiltias of his time. Seek it out. The Sword of Kings can cut through nethicite.', ""Why he would entrust the power to destroy nethicite, the instrument of his greatness ... to another and not to his own progeny, I cannot say. Awaken Ashelia B'Nargin and take up your sword, or your dream will remain but a dream."", 'My dream too, fades into day.']",NPC
Final Fantasy XII,2006,Japan,Ann,Female,"[""Rande! He's a passenger! Mind your tongue! I apologize for my ... companion's behavior. We have cabins available, if you would like to rest until we make port. Would you like me to show you to a cabin?"", 'No one. Truly. Just a gentleman – and I use the term loosely – who does not know when enough is enough.', 'Forget my own mother? The mother who raised my sisters single-handedly after my father died in the war? I would never marry a person like you. How many times must I tell you?', ""You and your brothers are among the most vulgar men I've ever met. And I've known many vulgars! Using your father to find out where we work! Speaking of work, I'd better get back to it. If you would kindly take your leave, I've a proper passenger to attend to."", 'What manner of game?', 'What of it?', 'Absurd! You expect a perfect stranger to willingly go from airship to airship delivering this message of yours!?', ""I'm sorry you've gotten involved in this, sir ... If you do see my sisters on the other airships, perhaps you could show them a letter for me? They're chief stewards, like myself."", ""Don't worry about me, sir. My sisters and I are up to the challenge presented by the notorious brothers of House Lirschell. Well, he's distracted me from my duties long enough, I should say. Where were we ... ? Ah, yes! Would you like me to show you to a cabin?"", "". I hope you've enjoyed your journey.""]",NPC
Final Fantasy XII,2006,Japan,Arjie,Female,"['Well, hello! The wary traveler never passes the chance to restock his supplies.', 'The children still work, even in this heat. I guess I should try to follow their example.', 'Well, hello! The wary traveler never passes the chance to restock his supplies.', ""We will leave before the Rains come. If there's anything you want to buy, now's the time."", 'Well, hello! The wary traveler never passes the chance to restock his supplies.', ""I used to live in Rabanastre, before I met my husband. Then I moved here. I only get to see him during the Rains, but I'm happy all the same."", 'Well, hello! The wary traveler never passes the chance to restock his supplies.', ""The skies are clear, the food and drink fresh and delicious. The people are good, hard working folk. I've never regretted coming to Giza.""]",NPC
Final Fantasy XII,2006,Japan,Arryl,Male,"[""You stuck here too? I came from the village up ahead, and now I can't get back. Him? Don't worry about him. He won't bite or nothin'. He's practically family! Cute, huh?"", ""I better get back to the village before they start worrying. Long as we stick together, we'll be okay. Him? Don't worry about him. He won't bite or nothin'. He's practically family!""]",NPC
