Title,Year,Country,Characters,Gender,Dialogues,Playability
Final Fantasy XIII,2009,Japan,Amodar,Male,"['You taking tomorrow off?', ""Twenty-one, huh? Maybe it's a good time to send off that letter of recommendation for officer training."", ""You're past due for a promotion, Farron. Think of your sister, and your future. And, uh, keep your nose out of trouble."", 'Yeah. Nothing good will come of it. Nothing but grief.']",NPC
Final Fantasy XIII,2009,Japan,Barthandelus,Male,"[""I am fal'Cie. My name is Barthandelus. Voice of the Sanctum and Lord-Soverign of the Cocoon fal'Cie. Your kind feared the darkness, so we gave you light.You begged us for the Purge, and did it not come to pass? Now your spurn our counsel? You must learn your place!""]",NPC
Final Fantasy XIII,2009,Japan,Cid Raines,Male,"['When it comes to Pulse, who could claim to know anything? I need the truth, for the sake of Cocoon.', ""Those are the Sanctum's methods. The public fears what it doesn't know. It's grown tired of living in constant terror of these treats from the World below. So, the Sanctum devised a plan for you l'Cie."", ""A public execution. The people don't know any better. Strike down the phantoms before their eyes, and they sleep like babes."", ""So the Primarch can stand in judgment of the villainous l'Cie...with their execution as the climax. The people will cheer their demise, and fal'Cie dominion will be undisputed."", 'Yes, but it also presents an opportunity.', 'I put you on the path. That was my focus.', ""Since long before we met. I did my best to assist you as bid by the Sanctum fal'Cie. Now do you understand? The fal'Cie haved watched over you, guiding your every step. The 'luck' that saved you time and again was a deliberate machination. Why, you may ask? The Primarch--or should I say Barthandelus--is crafting you into the instruments of Cocoon's demise."", ""The entity responsible for creating both humans and fal’Cie. Long ago, the Maker departed the world, leaving the two races behind. In a sense, human and fal'Cie are brothers--orphaned by the same parent. As for the humans, they forgot the order imposed by the Marker. They began to war among themselves for the first time in history. The fal'Cie focused on recalling their lost deity, and returning the world to its former glory. This purpose lies in the heart of all their actions. Calling back the Maker requires a fitting sacrifice."", ""Ironic, isn't it? The only thing I wanted was a moment of triumph. How it ends isn't important. Just do what you know is right. Trust yourselves."", ""My dream is but a fal'Cie's fancy now. End it."", ""The public fears what it doesn't know... Strike down the phantoms before their eyes, and they sleep like babes."", ""A l'Cie tied to an inescapable Focus - a slave of destiny. I'd lost hope. I'd all but given up dreams of freedom."", 'When it comes to Pulse, who could claim to know anything? I need the truth, for the sake of Cocoon.', ""The public fears what it doesn't know. It's grown tired of living in constant terror of these treats from the world below. So, the Sanctum devised a plan for you l'Cie."", 'I put you on the path. That was my Focus.', ""I did my best to assist you as bid by the Sanctum fal'Cie."", ""A shadow of a dream from when I was human. It was change I craved, and once I'd built the influence to make things happen, there was change. I gained all the power I could hope for, but was a puppet with no will to wield it. It wasn't the fal'Cie that changed, it was me."", ""I'm here of my own accord, not by fal'Cie. Seeing you fight brought it all back. Brought back that future I once strove for. I, too, will challenge my fate."", 'I will set you free!', ""The only thing I wanted was a moment of triumph. How it ends isn't important. Just do what you know is right. Trust yourselves."", 'People of Cocoon. My fellow citizens. We have survived the twilight, and gather now to welcome the dawn on which we decide our fate. Many are lessons we have learned during our long night of hardship and sacrifice. And now we face choices, which must be made as our hearts dictate, and not abandoned to uncared chance, Let us forge ahead with unflinching courage and honor the fallen with action. With these hands we shape the future.', 'I shall set you free!', 'My Triumph is near!', 'You are mine!', 'No more words!', ""The fal'Cie have no hold over me!"", 'On your Guard!', 'My Will is my own!', 'My Will is my Strength!']",NPC
Final Fantasy XIII,2009,Japan,Dajh Katzroy,Male,"['Hey, Dad.', ""Well, you're never happy. You never smile. So here what I wished: I wished that you'd cheer up and be like your old self again."", 'What for, dad?', 'Daddy, I found you! Daddy! Got you!', 'Because you promised!']",NPC
Final Fantasy XIII,2009,Japan,Gadot,Male,"['Then take a nap.', ""Sure, and when we're taking a nap, you can save everyone."", 'We got trouble!', 'Yeah?', 'Something on your mind? You got plenty of time for thinking on the way, hero.', 'You got it. Say hi to the missus for me. You go skirt-chasing, I take care of the kids. Some husband!', 'Better be home cooking!', 'Gate got ya beat? Hero?']",NPC
Final Fantasy XIII,2009,Japan,Galenth Dysley,Male,"[""This crisis threatens the entirety of Cocoon, my child. You agree that standing at the fore is a leader's charge."", 'It also affords a splendid view of the impeding execution.', 'Desperate times demand flexibility. Code white.', 'What else does one do with tools?', ""Cocoon is a factory, built by fal'Cie. A factory for the mass production of human thralls."", ""What can mere men do? Without our help, death is all of which you're capable. You saw the fools. A mindless mob drunk on fear of a few l'Cie."", ""L'Cie? You mean me? Oh, child, perish the thought. I am more that that!"", 'Ease is not the issue. You have not fought to win. You should know quite well already the sure way of dispatching our kind. Ragnarok.', ""Pitiful l'Cie, you've forgotten your Focus. Ragnarok is the beast one of you must become in order to lay waste to Cocoon. You have had the dream. One among you will become that monstrosity, defeat Orphan, and destroy Cocoon."", ""Allow me to help you see the truth of things. The moment you arrived, your friend wept crystal tears. That's because her Focus required that you be brought together. That girl did nothing but assemble the tools for Cocoon's destruction."", 'Did it never occur to you? Or did you simply refuse to countenance the thought? If you will not face the truth, then face the peril of your plight.', ""Run, l'Cie. See how stark really is!"", ""You betray your fal'Cie to chase after dreams and shadows. The world you claim to wish to protect now faces the end of days with no hope of salvation."", ""Oh, it won't be fal'Cie who desstoy her. For centuries now, Cocoon has provided generously for its human inhabitants' every want and need. Coddled them, one might even say.The result being their deep seated gear and hatred of change and all things alien. Fed, nurtured, and ready to detonate at the slightest spark. The seeds of destruction take root, even now."", 'I resigned, appointing Raines as Primarch in my stead.', 'The puppet is restrung to serve my needs, yes.', 'The time has come. [laughs evilly] All me to extend my invitation. To save a people beyond salvation, there is only Ragnarok.', 'Cocoon suffers. Release her from the pain.', ""Can you halt the Cavalry's charge? Filled with righteousness, they will slaughter Orphan in the name of freedom. Your only recourse will be to deliver them death, swift and certain."", ""We will see about that. I shall savor the demise of Cocoon from atop the highest seat in all of Eden. You, too, should hurry along to the heart of our grand capital. Your loved ones miss you so. Come, l'Cie. Fulfill your destiny!"", ""Life's spark shines on, once freed from its fleshy shroud."", 'Dreams, meanwhile, shatter in a flash.', ""There's no denying the enormity of the strain the Purge placed on us all. But, given the tens of millions of lives at stake, there truly was no alternative."", ""In all the centuries since the War of Transgression, Cocoon has been spared Pulse aggression, and prospered for it. It is essential that we maintain this peace. That is the Sanctum's focus. We will continue employing every resource available to combat these threats to the harmony of our society."", 'What else does one do with tools?', ""Without our help, death is all of which you're capable. You saw the fools. A mindless mob drunk on fear of a few l'Cie."", ""l'Cie? You mean me? Oh child, perish the thought. I am more than that!  I am fal'Cie. My name is Barthandelus. Voice of the Sanctum and Lord-Sovereign of the Cocoon fal'Cie. Your kind feared the darkness, so we gave you light. You begged us for the Purge. and did it not come to pass? Now your spurn our counsel? You must learn your place!"", 'Will you enjoy the festivities beside me or perhaps...  Greet the end here in the land where it all began ?', 'If you truly seek salvation, you will obey!', ""This is the power of a fal'Cie."", 'Come...', ""What can mere l'Cie do?"", 'You are ignorant of your place.', 'I am most disappointed.', 'You waste your time.', 'Is that all you got?', 'I am the harbinger of death!', 'Yield!', 'Witness my power!', 'You will taste agony!', 'You will know true terror!', ""Now you will bow to the fal'Cie!"", 'Submit!', 'The World begs for salvation.', ""Piteous l'Cie!"", 'Perhaps, some of this?', 'Such marvelous strength!', 'Can you endure this?', 'You struggle in vain!', 'Fulfill your Focus.', 'Rip! Die! Kill!', 'Rrrrraaaaagghhgh!', 'Rrrrraaaaagghhgh!', 'Rrrrraaaaagghhgh!', 'Release...At last, release!']",NPC
Final Fantasy XIII,2009,Japan,Hope Estheim,Male,"[""Mom, you still believe in that kind of stuff? Wishing on fireworks, really? That's for little kids."", 'You. What did you wish for?', ""Why? It's better like this. We don't need him."", 'O—okay...', 'Hey! Wait!', ""What did you expect? Even soldiers know not to go near the fal'Cie. You become a Pulse l'Cie, and you're finished."", ""Haven't you heard, Miss...?"", 'Huh?', ""What's my—? Pulse is hell on earth!"", 'Get off me.', ""What's wrong with you? Why do you want to help a l'Cie?! They're the enemy! How can you save a l'Cie and not...and not.... That's insane!"", ""l'Cie who full their Focus are transformed into crystal and gain eternal life."", ""So this...is the fal'Cie...?"", ""He used magic! You used the power of a l'Cie! The fal'Cie cursed us! We're l'Cie now!"", ""Why me? I don't even know you, but you have to go and attack that thing?!"", ""Just leave me alone! It's your fault-- It's you fault my-- You could've-- All of this is your and Serah's fault!"", ""Wait, but I don't get it. If you're not PSICOM, then why did you board the train?"", ""You're telling me that you got on that train so you can save your sister? That's crazy. I could never do something like that."", ""That night, they found the fal'Cie in the Bodhum Vestige. The next day, soldiers sealed the town and we couldn't get back to Palumpolum. They forced us onto the train with everyone else. My mom, she was frantic. She wanted to get us home, so she tried to fight. She got tricked, by Snow! He used her!"", ""Let him worry. Why should I care? He doesn't."", 'As long as you have a goal, you can fight?', 'I know that. But-I need to be stronger. Lightning?', ""Lightning! Your brand looks different. Was that an Eidolon? Like l'Cie can summon?"", ""Actually...Why don't you let me take point?"", ""It's not a question of can or can't."", ""They don't seem like they're even looking for us. I mean, we're l'Cie and we're on the loose."", ""So the other soldiers don't know about us. Right?"", ""Do you think he's still alive?"", ""It's irresponsible."", ""Strategy. Good. I'll take anything to help me get through this. I'll call it 'Operation Nora'."", ""My mother's name."", ""That's the city's food-production fal'Cie. Name's Carbuncle. That's one of our enemies, being Sanctum and all."", ""I think people have enough reason to hate us, don't you."", ""Look at us: Pulse l'Cie, using a Sanctum fal'Cie to tell where we're going. Sort of strange."", ""You think? They protect us, nurture us. They take care of, well, normal people. They treat us like we're special, almost like...Like we're pets!"", ""Hope? There is no hope. Not for l'Cie."", ""It's my name, not who I am."", ""Don't say it! Don't say his name. It bring everything back. I keep playing it in my head, what happened to her. And then I see his stupid face and--and he's smiling. How can he smile when she's dead? I know! There nothing I can't do. I hate knowing that. No matter what happens, she's not coming back! When I was fighting, there was no time to think about it. It felt good just to give in. But now you start talking about hope..."", ""I'm sorry. I'm messed up."", ""I'm a l'Cie. I had to."", ""You think it's stupid."", 'He was...he was smiling!', ""We don't have any!"", ""A l'Cie's only hope is a quick death!"", 'I wanted to ask you something.', 'You say you want a family. What if, what if they were taken from you?', ""And what if you couldn't? What if you who was to blame?"", 'Snow? What do you plan to do? I need to know.', ""And what if that gets people around you involved? What happens when your actions end up ruining someone's life? What if someone dies? What then, Snow? How do you pay for what you've done?"", ""So that's it? People die and you just run away?"", ""There are no answers! You're running from what you deserve!"", 'The same fate!', ""You told me before that you couldn't."", ""The wind--it's dying down."", 'If we pull this off, it will be a miracle.', 'Do you really think our Focus is what Dysley said it is?', ""It's almost like Dysley want it to come true."", 'Think of it as training for the fight ahead.', ""All right. I'm in."", ""If nothing, we know Cocoon is safe for the time being. I'd say it's worth going to take a look."", ""I made him a promise.I promised him to keep going, and do what I had to. He said only I would know what that was. The world's full of lies. There's no way of knowing what's right. All we can do believe on ourselves It's easy to sit back and let people trick you. Like how the Sanctum had us all thinking that a l'Cie was some sort of monster. I'm done with their lies. Fal'Cie, this whole Focus thing. From here on out I use my own eyes. Think. And act. I might not make all the right choices. But as long as I'm the one who decided what to do, there's nothing regret."", ""Oerba--the place it all began. The place where the Pulse fal'Cie lay dreaming. Vanille and Fang's home. Just maybe... it will be the place where we find the answers we're looking for."", ""[starts crying]: But that what scares me! I don't...I don't want see you get hurt because of me. It would be better for everyone if I just stayed behind."", 'You mean, that came from me?', 'Huh? Oh, I, uh--I was just thinking.', ""I was just taking it all in. The sky here, the trees, the sunlight, the smells..When I was on Cocoon, I never dreamed a place like this could even exist. But now? Here I am, on Pulse. If I hadn't gone to those fireworks, if I hadn't been sitting in that same train car during the Purge...If anything had been different, I'd never have had a chance to see this."", 'Uh..really? I...When did I do that?', 'What does that even mean?', 'Wait! Stop already!', ""I don't know. It's weird, like voices in my head."", ""He's bluffing to scare us off. Let's just go with that! Come on! We can do this!"", 'So I guess that means there are still more monsters like one out there.', ""Let's keep on looking. That's what we came here for. We all agreed, and now we're here."", 'Which is your house?', ""Lightning, you told me on Cocoon. It's not a question of can or can't. We just do it. That's our only choice this time, Maybe it won't do much. Maybe only one person will listen to us. But even then, isn't trying better than doing nothing?"", ""That's how Light gets around!"", ""Your destiny...We'll decide our own destiny!"", ""Then, you knew the fal'Cie were using us?"", ""We'll do it for everyone. Fal'Cie rule ends here."", ""Yeah. They don't work wonders. They play tricks."", ""My brand! It's gone!"", ""Wow, you don't waste time, do you?"", ""It's all or nothing!"", 'Come on, Light!', 'Maybe we should try something else?', ""Now it's my turn."", 'Careful now!', 'Did you miss me, mom?', 'Why me?', ""I'm sorry, I can't do this..."", 'Alexander! Need your help, big guy!', ""Okay, Let me up! Okay, let's do this!"", 'Nothing can stop us!', ""Maybe there's hope for us after all."", ""I'll show you hope!"", ""I'm not giving in!"", ""I'll fight and I'll survive!"", 'Try this on for size!', ""Now's our chance."", 'Clear the way! Fire!', 'See you next time.', 'One down!', 'Just like I planned it.']",PC
Final Fantasy XIII,2009,Japan,Jihl Nabaat,Female,"[""The capture of undesirables. It seems that was your son's Focus. Dajh fulfilled it admirably, and served Cocoon in the process. You should be proud of him, Mr. Katzroy."", ""We enhanced the survellance footage from the energy plant. Those are the Pulse l'Cie behind what happened. The picture's a little grainy, but I'm sure you recognized that. You've spent so much time together."", ""Yes. That young lady's terrorist assault at the Euride Gorge is the reason Dajh was made a l'Cie. Ironic, isn't it? The very girl you're protecting...is the one who stole your son."", ""You should be proud. Your son's a hero. The boy who saved Cocoon. We'll erect a memorial in Eden and put his crystal on display."", ""Do be careful with those. For every task, there's a perfect tool."", ""We didn't expect to see you here in person, Your Eminence."", 'Wholeheartedly.', ""No! Damn l'Cie."", 'Make it rain!']",NPC
Final Fantasy XIII,2009,Japan,Lebreau,Female,"[""What's to dread? PSICOM's nothing but a whole bunch of bluster and bullying. They got nothing on NORA."", 'Hey, what about me?!', 'Pretty lame.']",NPC
Final Fantasy XIII,2009,Japan,Lightning,Female,"['Sir, for my birthday, sir. My sister, she insisted on it.', 'Lieutenant...', 'Out of PSICOM business, you mean.', ""You became a l'Cie, so now you're gonna marry this idiot? And you think I'm gonna buy that? Full points for originality. But, don't forget. If you really are a l'Cie, it's my job to deal with you."", 'This is ridiculous. Worst birthday ever.', ""You're kidding me? She gets made l'Cie, and you pop the question?"", 'Who are you calling ""sister""?! Is this some kind of a joke?!', 'How practical.', 'So direct me, let me. I want to be Purged.', 'Then I quit.', 'I volunteered.', 'You want quiet, you better take the next train.', 'I a soldier.', ""Better to die than get sent to Pulse. It's hell without the brimstone."", 'He wants to kill us without a fight.', ""Pulse fal'Cie. My 'angle'. I'm after the fal'Cie."", 'Still happy you tagged along?', 'That was the idea.', ""Sanctum logic. They conjured up the Purge to eliminate a threat. I mean—why carry the danger all the way to Pulse? Why not just stamp it out here? Execution masquerading as exile. That's all the Purge ever was."", ""Why didn't I listen?"", 'It was me. This is my fault.', 'Cover your ears.', ""I'm so sorry...Please let me in. Please?"", 'My sister...', ""She's a l'Cie."", ""The fal'Cie has her captive. But I'll find her."", ""Just say it! Any l'Cie...Anyone who might even become a l'Cie should be wiped off the face of Cocoon! It's people like you that the started the Purge in the first place."", 'Save Cocoon? Serah, is that your Focus?', ""Somehow, I'll think of something."", 'Serah!', ""What the hell's gotten into you?! Open your eyes and face reality!"", 'Fine, you go on begging! Like this thing gives a damn what we want!', ""It's this thing's fault the Purge started, and it's people are dying. Serah told us to save Cocoon. That means this thing needs to die!"", '[takes up her weapon] Right.', ""l'Cie to the last..."", ""Cut the crap. Their grunts might be green, but PSICOM's elites are cold-blooded beasts. They hit the field and it's game over."", ""What about our focus? What happened to banding together to save the world? It's that what you promised? Now you want to forget it all and die here? Snow? You're nothing but talk."", 'Great job so far.', ""The Purge is PSICOM's baby. Our military is split into two arms: the Public Security and Intelligence Command, known as PSICOM, and the Guardian Corps. I was Guardian Corps, Bodhum security regiment."", 'For Serah. I had to rescue Serah before they transported the Vestige to Pulse, and out of my reach. My only chance to save her was to join the Purge.', ""It's not a question of can or can't. There are some things in life you just do."", 'Got me. Not even the Corps has access to intel on Pulse. Soldiers in the field fight blind.', ""Target's a target."", 'You can stay alive.', ""Keep running—it's die or turn Cie'th. There's no place for l'Cie to hide. No…they want a fight? Let's take it to the Sanctum's door!"", ""No. That's for damn sure. It started with Serah. The fal'Cie took her. Now I'm a l'Cie. And the Sanctum's hunting me, an enemy of the state. But who's pulling their strings? A fal'Cie. Eden. Cocoon's sustainer and guiding light. It probably ordered the Purge, too. Pulse and Sanctum fal'Cie? They're all the same. And we're all the same to them: expendable. I'm not dying a fal'Cie slave."", ""With me, it'll be fight after fight. I don't know how it'll end. It's anybody's guess."", 'Call me Light.', ""Magic and mumbo-jumbo. I must've hit my head on that Purge train."", 'Right. We press forward. I take point, you watch our backs.', 'Can you handle it?', ""Now you're learning."", ""PSICOM's keeping it all under wraps. They don't want their failure publicized. Better they lose us than their pride."", ""Right. They don't know anything about any fugitives."", ""You mean Snow? He's too stubborn to die. And that's his best quality. He's arrogant and chummy from the get-go. He thinks he's everybody's pal. Never liked him much. He leads a bunch of kids--gang called 'NORA'."", ""It's a stupid acronym. Their little code. Stands for 'No Obligations, Rules, or Authority'. Must be nice."", ""Don't touch anything. Control your emotions. If you want to survive, you forget about sympathy. How can I explain? Think of it like a strategy. Focus on your ultimate goal and shut out everything else. Still your mind. Move on instinct. Let doubt take over, and despair will cripple you."", 'NORA?', 'Your revenge?', ""Kill him, and cut off the food supply. That'll make us popular."", ""Yeah, you're probably right. Hungry people make for angry people."", ""Not really. We've relied on them our our lives. The food we eat, the light and water, it's all from the fal'Cie. You know, I think Cocoon was really built for them. The rest of us, we're just leeches. Parasites."", ""Like pets. To them, we are just pets. That's it. Now it makes sense. I've been so blind. I was born into a fal'Cie world, raised on a fal'Cie leash. It was the only life I know how to live. When it was taken from me, I was completely lost. Without a master to follow - my life had no purpose. Hope, listen to me. This l'Cie curse, it took everything. My future. My dreams. I didn't want to think. So I fought instead. As long as I was fighting, nothing else was real I was running away. And you, Hope... You got swept along with me."", 'Operation Nora is over.', ""I don't know yet. But I do know we can't lose hope."", ""There's you."", ""I was just like you. My parents died. I have to be strong for Serah, so I thought I needed to forget my past. And I became Lightning. I thought by changing my name, I could change who I was. I was just a kid. Lightning. It flashes bright, then fades away. It can't protect. It only destroys. Serah tried to tell me, but I wouldn't listen. I threatened her. The only one who believed her was Snow."", ""No...It's my fault."", ""I'm not your sister."", 'Who are you?', ""Hey, Fang. The others are safe, right? If any of us caught, they'd make an announcement."", ""'These Cocoon people' have spent centuries under fal'Cie, in constant fear of a Pulse invasion. If it weren't for Serah, I'd have been out there too. Hunting l'Cie. Would have been nothing but targets to me."", 'All part of the plan.', ""Yeah, it's stopping. And we're decelerating. They up to something?"", 'Not to me. That? They we can do something about.', ""Because when we kill, we're a step closer to Vanille. How's that?"", ""He's serious, We're gonna take down the the Sanctum and give Cocoon back to the people. The fal'Cie have called the shots for long enough."", 'You got it!', ""If they only knew a l'Cie was filling their glasses...!"", ""About Serah's Focus? Not like you to second-guess yourself."", 'What about your plan to save Cocoon? Either way, your faith in Serah was strong. That strength got you this far.', ""Yeah. You tried so hard to convince us that you even fooled yourself. You've been a total idiot. But still...It saved me. You trusted Serah. Let that faith drive you. It even made me want to believe."", 'An Ark?', ""Okay, so, I get it. Dysleys's goal is to forge us into stronger weapons. Right."", 'Raines! You traitor!', ""Yeah, we've heard. The destruction of Cocoon."", 'Raines….', 'Maybe. But what about your dad?', 'Off to hell we go.', ""You know, if we don't find anything this time, we won't get another chance."", ""We understand. You're not gonna go through this ordeal alone, you know."", ""This is not an ordeal, this a gift! Hope, this the kind of power you've got inside. And it's telling you not to give up. Trust me."", ""So, we're decided then?"", ""Once we're home, what's you plan? You're getting married, right?"", 'Serah wants to know.', ""You are getting married, aren't you. Don't let her down, you hear me?"", ""That's all I need to know."", ""It's acting strange."", 'Sounds like it. Somewhere out there on Gran Pulse.', ""Yeah, well, it's not all on them. Last time I checked, we are still in this fight."", 'Stop it!', ""I didn't think fal'Cie had the means."", 'What did you do to Cocoon?', 'We can jump.', ""No. Unlike you, they'll listen to reason."", ""Right--over Barthandelus' dead body."", ""This is it. A lot of dreams died to get us here, and we can't let it be for nothing."", ""Think! Where's the real Serah?"", ""Could be more fal'Cie smoke and mirrors."", 'We made you go it alone.', 'You were there too, Fang. Same side. All of us. Together to the end.', 'No. We overreach you.', ""You don't believe in anything. You gave up on life before you were even born. Sat poisoning Cocoon from the inside, waiting for someone to come and destroy you. Sure, you think the end of the world is salvation. All you care about is death's release. So take it, and leave the rest of us alone. We don't think like that. When we think there's no hope left, we keep looking until we find some. Maybe Cocoon is past saving, but it's our home. And we'll protect it or die trying! We live to make the impossible possible! That is our Focus!"", 'They did it, they saved the world.', 'It really is miracle.', ""Serah...I'm sorry."", 'I believe you. Congrats.', ""Let's get this over with!"", 'You know what to do!', 'This should be interesting.', 'No time to waste!', ""Cocoon's nothing to you?!"", 'Right...', 'Find your own road to hell!', 'Just stay out of my way.', ""Let's go!"", 'Now!', 'Take down the enemy!', 'Follow my lead!', 'Turn the tide!', ""Let's wrap this up!"", 'Time to switch it up!', 'You asked for it!', 'Barthandelus!', 'Take this!', 'Out of my way!', 'Stay down!', ""You're going down!"", 'Target acquired.', 'Thank you.', 'Good call.', ""Don't panic."", 'We survive!', ""Target's a target."", 'Nothing personal.', 'Time to end it!', 'Take this!', 'Odin...Cut us a path!', 'Clear the field!', ""We do this together! Let's ride!"", ""Lend me your blade! We'll carve out a new fate!"", 'Charge!', 'Shake the ground!', ""Trample 'em!"", 'This ends now!', 'The storm is here!', 'And so it ends...', 'Just... like that?', 'I can win this!', ""I'll make it quick."", 'Time to end it!', ""I'm no one's slave!"", 'You lose.', 'Something to remember.', 'Outta my way!', ""It's over!"", 'I control my fate!']",PC
