Title,Year,Country,Characters,Gender,Dialogues,Playability
Final Fantasy XIII-2,2011,Japan,Alyssa Zaidelle,Female,"['Final Fantasy XIII-2: The story so far...', ""(auto-talk) Alyssa Zaidelle. I'm an Academy intern. I heard you apprehended our two observers, so here I am..."", ""Hmm. I'll supply you both with comm devices. Right this way, please."", ""Oh, no. Sorry about all of that 'observer' nonsense back there. Lucky for us, that soldier was so quick to believe me."", ""(giggles) I told you, that was a cover. I'm just a trainee looking to make it big."", '(auto-talk) Right this way, please!', ""You'll need an ID to travel any further into the ruins. Here, take this communicator and keep it with you at all times."", 'Yeah?', '(points at him) I saw you two. I saw how you got here through that thing.', ""Yes, it is a kind of gate. It links to another world, doesn't it?"", 'Nice to finally have some clue what these things are for.', 'I do have questions, yes. About the gate, and about the paradox.', 'You will? Great!', ""You know what I heard? They might be shutting this site down pretty soon. It's all because of Atlas. It's too unsafe with him around. But... but there's still so much I want to explore."", ""Here's hoping Atlas stops moving. Then we can get to the bottom of this whole paradox business."", ""It's not easy, though, with all these things they keep throwing at me. I'm still a trainee. I mean, I've got my exam to prepare for."", ""I'd heard your name before, you know. There are some people who haven't forgotten what the l'Cie started on Cocoon, Serah Farron."", ""I don't suppose you've learned anything about Atlas."", 'If you notice anything suspicious, let us know.', ""(auto-talk, over communicator) We're sifting through the ruins to see what hidden technologies we can dig up. Since the fal'Cie lost their power, human science is all we have left to rely on."", '(over communicator) Serah... you should take this more seriously.', ""(auto-talk, over communicator) There used to be a cemetery in the ruins. But now it's gone... If you come across any gravestones, let me know. It's driving me crazy!"", ""(over communicator) We've detected a large energy surge in the center of the ruins. Another unknown device has appeared."", ""(auto-talk, over communicator) If a gate leads to another reality, does that mean there's another 'me' somewhere in that world? I think about it sometimes. I mean, maybe I don't really exist and I'm just a character in the 'real' me's dream. And if that's true, then I'd better make the most of it before I wake up!"", ""(over communicator) Well, no one can say for sure. It's like they'd always been there, and one day we finally noticed."", ""(over communicator) Uh... Noel? I'm not sure I can tell if you're being serious or not..."", ""(auto-talk, over communicator) I think there might be a cemetery somewhere in the ruins. Please tell me if you think you've find it."", ""(auto-talk, over communicator) There's something I just have to make sure of. They can't seal off the ruins. Not yet. They still deal with threats the same way. The government didn't learn anything from the Purge."", '(auto-talk, over communicator) Ugh, finally! Can you hear me now? It looks like Atlas is starting to slow down a little.', ""(auto-talk, over communicator) Some say that time is a box full of possibilities. Until someone from the future peeks inside, the past remains uncertain. You know what I think? Maybe we're just one of those possibilities, waiting for the box to be opened. And I think this paradox phenomenon is happening because someone in the distant future can't decide whether or not to flip the lid."", ""That's great news! I'm on my way!"", ""(approaching) This is it! This is the place! (She sinks to the ground and reaches her hand towards the epitaph.) I thought it might be... But that's not my name."", ""It's my friend's. She died here. Running from the Purge. (gets up) And me? I'm one of those who survived. Five years ago, the entire town of Bodhum-- it was wiped out by the army. I was there, visiting my friend. Then everything went to hell. We ran and hid with the other fugitives. But just as the troops were pulling out... That's when the ceiling of our hiding place collapsed. Ever since then, I've had the same dream. I'm trapped under rubble. It's dark, I'm in pain, and I can barely breathe. The next thing I know, I rise out of my body, and I'm standing before this grave. (points) And the name written on the stone... It's mine. After seeing that image so many times, I started to think that maybe I did die back then. And the life I'm living now is just an illusion."", '(chuckles) Real enough, I guess. (She sits down to look at the stone again.) Even if they all forget... I never will.', ""Thank you. You've helped me see that I can overcome any experience, no matter how terrible."", ""Forgive me. I was just so glad it wasn't my name on there. I wish it wasn't yours either..."", '(suddenly running up, breathing heavily) Director Hope! There you are! What were you thinking? Taking off and leaving me all on my own.', ""How long has it been? Five years? You two haven't changed at all."", 'Ruins are places where memories gather like dust. So many layers of time... Probably the easiest place for a paradox to occur.', ""We've made significant progress these past five years."", 'This is the front line of paradox research.', 'This eclipse is so unusual.', ""I'd say the institution has grown considerably since the last time we met."", ""Without the fal'Cie around, we have to be able to protect ourselves. And that means guns."", ""You know, I wish you'd said where and when you were from the last time we met."", 'The whole place was in an uproar after you suddenly disappeared.', ""I'm so glad Mog is still with you. I like him."", 'No, they were destroyed because they could see the future.', ""Being able to see the future is awfully dangerous. It can mess with people's heads."", ""Oh! Come on, Director Hope! I want to show them! It's okay to show them, isn't it?"", ""I think I'm a bit jealous of you, Serah. You can travel to the past or the future, and if you find somewhere you like, you can just stay there."", 'Well, of course you are.', 'Oh, hi. Still wandering around the ruins?', '(auto-talk) Director! Who are you waiting for?', 'Director!', 'What happened? Did the prophecy get rewritten?', 'When is Cocoon supposed to fall? How many years? Is it soon?', ""(looks relieved) Oh, that's a long time from now. I mean, none of us'll even be alive to see it."", 'Yeah, but how? You think you can go to the time when it falls and hold it up yourselves? Do you even have a gate to take you there?', ""I still find it hard to believe though, that my memories can change just like that. - We've got work to do. - Long time, no see. But not really. Strange, huh?"", ""With paradoxes, anything's possible. 'Until someone from the future peeks inside time, the past remains uncertain.' Do you remember talking about that? Paradoxes are spacetime entanglements, differing possibilities sealed in a box. When an observer peers into the future and corrects its contradictions, possible past histories collapse into a single timeline."", 'You got it. And it works the other way, too. Twist the future, and the whole of spacetime, backwards and forwards, gets bent out of shape.', ""I'm in pain, and I can barely breathe."", '(tosses off a wave) Later!', ""We realized we couldn't let that happen. We had to levitate Cocoon using only human technology."", ""So I bet you're dying to know how we came to the future, huh?"", ""You've heard about the time capsule we used? It's a device that slows down time only for its occupants. The effect is caused by the creation of a powerful gravitational field and... well, essentially we just slept as the outside world flashed forward into the future."", ""Unfortunately not. And considering it broke down after a single use... I doubt it'll prove to be a popular method of time travel."", 'Oh, the director was there with me. Hey, Serah? After coming to the future myself, I-I think I understand how you must feel. The Academy has welcomed us with open arms, and we can research as we always have, but... ... sometimes I get these terrible anxiety attacks.', ""Please, Serah, you have to let me apologize for the way I treated you in the past. Maybe you can't forgive me for that, but I hope as fellow time travelers we can face the future on friendly terms."", 'The Academy has made progress on its investigation into the Thirteenth Ark. At this stage, there is good news and there is bad news.', ""We've discovered that the Ark's reactor is powered by an ore cluster known as the Graviton Core. By collecting these, there's a possibility that the new Cocoon will be up in the sky in no time!"", ""I'll put together some data on Graviton Cores. Check in with the Academy front desk."", 'Thanks to you two, we almost have all the cores we need!', 'Did I tell you? The director is inventing a new device.', ""But, Director? Didn't you say you were missing a certain material?"", ""You've brought us another cluster!? Thank you so much. I mean it."", ""He's right, you know."", 'Yes, I think so. And look what I found. It was lying next to the gate.', ""That's what we figured. Thought we'd save you the trip."", ""Sometimes, when it looks like all hope is lost, people can turn against each other. They end up full of hate. But really, when they stop and think about it, they're making themselves sad for no reason. Director? What are you looking at me like that for?"", ""That was always in the back of your mind, wasn't it, Director? If we abandoned the old Cocoon, maybe you could free your friends. Or am I wrong? It's okay. We all knew. We wanted to help anyway."", ""(voice) I'm sorry. But in the new future that you wish to build, I no longer exist. Good-bye."", 'Yes, I think so. And look what I found. It was lying next to the gate.', 'Huh? What?', '(grabs for the artefact, but is restrained) Give that back!', 'So what if he did?', '(Alyssa-entity) Nice to meet you.', 'A fabricated life-form... or a living machine, the semantics are irrelevant.', 'Yes, everyone is a duplicate. An artificial life-form.', 'The Caius entity came through recently, accompanied by a green-eyed girl. They were proceeding to the top of the tower.', 'Of course. This way.', 'This way, please.', 'This was an effect of the paradox. You just witnessed an event that took place on this spot 187 years ago.', ""Yes. After the tower was completed. During the Proto fal'Cie development project, the artificial intelligence and humans came into conflict."", ""You two have seen it now. You've seen the forbidden history. People who know too much have to be buried.""]",NPC
Final Fantasy XIII-2,2011,Japan,Amodar,Male,"[""Greetings, young man and young lady! How would you like to test your knowledge with Captain Cryptic's Confounding Quiz!?"", 'I am Captain Cryptic, quiz-giver extraordinaire! So, little lady, how about that quiz?', ""Correct! Captain Cryptic is a quiz-centric duplicate. Let's get started then!"", 'Mommy not helping with your homework?', ""And we're still on the easy questions! Oh, boy."", 'Exercise that gray matter! And away we go! Question time!', 'Yes! This round is yours!', ""And we're still on the easy questions! Oh, boy."", 'Show me how brawny your brains have become! And away we go! Question time!', 'Oho, well done!', ""That's showing your smarts!"", ""Welcome to Captain Cryptic's Confounding Quiz! And away we go! Question time!"", 'Excellent. Another winning answer.', ""And we're still on the easy questions! Oh, boy."", 'Are we ready, my little lad and lass? And away we go! Question time!', 'Yes! This round is yours!', ""Welcome to Captain Cryptic's Confounding Quiz! And away we go! Question time!"", 'I am Captain Cryptic, quiz-giver extraordinaire!', 'No more questions for you two!', 'Quiz time is over now, kiddies!']",NPC
Final Fantasy XIII-2,2011,Japan,Arbiter of Time,Male,"['(deep voice) Who dares? Explain this intrusion!', 'Travels of the Void Beyond. What are you seeking in this bloodstained place of war?', 'My domain exists outside the march of ages. It is unseen and unknown, beyond life and death. Until the day the bell of the goddess tolls, this realm welcomes not the living. Begone from here. You bring naught but calamity. My halls already play host to an omen of time-shattering misfortune.', '(lighting up with energy and posing) Begone, I say! Heed my words... Or face judgment at my hands!', '(lighting up again) Take it, and leave this place! (He produces a fragment.) The Day of Reckoning has not yet come.', 'I am the Arbiter of Time. I am the lord of this domain. This field exists only for battle and death.']",NPC
Final Fantasy XIII-2,2011,Japan,Baxter,Male,"['What... what happened?', ""The airship went up in flames. I don't know if the others survived. But I do remember one thing-after the crash, I saw that our pilot, Ray, was still breathing. He must have wandered off somewhere."", 'The situation is just hopeless.', 'I pray that everyone else is safe and sound.', ""I'm all right, I swear. I'm just worried about the others."", 'Would you mind looking for my friends? I know this area is dangerous, but it would mean a great deal to me.', 'Please. Find the pilot that crashed in the vicinity. We call him Ray.', ""We're not authorized to share personal information so we use call signs. Our commander's name is Sergeant Blitz."", ""There's not an inch of me that doesn't hurt. But don't worry, I am not gonna die here--not now."", ""Please, check on the others. I'm fine. I'll wait here for the evac team."", ""You want to know where it hurts? How's 'everywhere' for an answer?"", ""Oh, thank goodness! Ray, the guys... They're okay!""]",NPC
Final Fantasy XIII-2,2011,Japan,Brant,Male,"['I think you guys took a wrong turn somewhere. The kiddie pool is that way!', 'This medical textbook is useless. It has no appendix!', ""The book of magic was useless. They didn't run a spell check!"", ""Not all jokes are funny. I'm proof of that!"", ""You're Mog nificient. I've met my Serah people and I Noel not many can keep up! You have my respect! Now give it back! I wrote everything down. Here, take this. Oh, and one other thing--tell him he's my one and only buddy till the day I stop breathing. You look confused. See, the thing is, the man you talked to before, my buddy, he died three years ago. I don't mean to scare ya, but you were talking to a ghost, not a person. Thanks for playing along! I had a roaring good time!"", ""You're still here? Are you looking for something? Like your dignity?"", ""When you see my buddy, tell him I'll see him around. Wait, scratch that--I can't!""]",NPC
Final Fantasy XIII-2,2011,Japan,Brenda,Female,"[""You two are famous. People say you're quite the swordsmen. Do you care to prove that you're as good as they say? I recently received an urgent request from one of the labs at the Academy. They need a fang from a behemoth as soon as possible for a project they're working on. They don't want just any fang, though. They need one that's in pristine condition. Unfortunately, with the military's current weapons... ... there's no possible way to take down a monster that size without ruining its fang in the process. Now that you know the situation, if you happen to come across any, would you mind sharing them with me? I know it's a lot to ask, but it would help me out so much."", 'If you change your mind, please let me know.', ""The Academy's scientists are looking for a certain body part belonging to a behemoth."", ""I'm trying to get my hands on the fang of a behemoth. I haven't come across any in good enough condition."", ""Thank you! I appreciate this. If you're as good as they say, this should be easy. Once the Academy gets their hands on an adequate sample, they're going to use it to research all sorts of things... ... such as the monster's biology and evolutionary background."", ""A behemoth fang! And it's in such good condition! I can't believe you managed to get this! So the rumors were true. You two are nothing less than excellent! The Academy scientists will be thrilled! Once the lab gets ahold of this, they'll be able to figure out everything they need to know about the monster, like where it comes from. Did the paradox bring this beast from the past or from the future? Is it the creation of the fal'Cie, humans, or Mother Nature? What you brought us will give us the answer we've been searching for. I want to thank for helping me out of this predicament. Here, take this as a token of my appreciation."", ""(auto-talk) I've never heard of just two people defeating a behemoth. That's incredible. The military uses brute force, but a little magic goes a long way."", ""(auto-talk) I want to thank you for finding something that's so important to me. I hope my research will help build a bright future for everyone.""]",NPC
Final Fantasy XIII-2,2011,Japan,Bridget,Female,"[""See this flower? Isn't it the most beautiful thing you've ever seen? It's called the Flower of Fenrir. It only bears fruit once every couple hundred years, during the time of the eclipse. Unlike most flowers, it requires complete darkness to go through the process of bearing fruit. It's an amazing subject to research, but... As you can see, at this stage, it's still a flower. I don't know exactly how long it'll take or when it'll produce fruit... ..but I do know that it's unlikely that it'll happen in my lifetime. But I can still hope, can't I?"", ""I know it's impossible. But it doesn't hurt to dream, does it?"", 'I wish I could find out what sort of fruit this flower will bear.', ""If only I could see the flower's fruit with my own eyes during my lifetime."", ""Really? You're willing to search for the Fruit of Fenrir for me? I don't think it's possible to find one when there's no eclipse. Or do you know something I don't? Is there a secret way to obtain one?"", ""You say you've found something that resembles the fruit? But... how can that be? This is it... I can't believe my eyes! I don't know how you did it, but you found one! Thank you so much! Now I can focus on the research I've always wanted to do. I can finally figure out how this fruit is able to grow in complete darkness. Ever since the fal'Cie became dormant, the weather on Cocoon has been pretty miserable. There are always dark clouds in the sky. I want to engineer a plant that will help cheer people up. I know many people have abandoned Cocoon. But I want to show people that no matter how grim things might be, there's always hope. Just like this flower can bear fruit without light.""]",NPC
Final Fantasy XIII-2,2011,Japan,Caius Ballad,Male,"['This eternity--it was never your desire. Is that not so, Yeul?', ""Warrior goddess. (He draws a sword which features a large glowing orb of energy.) Now we cross swords. (Lightning draws her own gunblade with a flash of feathers. Caius slashes his sword and leaps into the air. A fight begins between Caius's and Lightning's monsters.) Lose yourself in battle, and rejoice!"", '(chuckles and sends out another beam of energy) Husk of the wandering comet... I summon thee!', 'Impressive.', ""Let's not waste time."", 'The goddess made a wise choice. Powers of chaos, bend to my will!', 'Keeping up?', 'Oblivion is the fate of all things.', 'Predictable.', ""Now it's my turn."", 'Pathetic.', 'I long since ceased to feel pain!', 'Final Fantasy XIII-2: The story so far...', 'If you change the future, you change the past.', 'You must understand. There are many Yeuls.', 'I learned of journey, leaping back and forth along the timeline. Yeul has been watching everything you do.', 'Yes. I see you understand the significance of that. Then you must also understand that I am here for a reason. Your actions have necessitated the strongest sanctions.', 'I must protect the sanctity of the timeline.', 'Face your worst fear.', 'Times have changed. I am not the Caius you once knew. (He levels his sword at Noel.) To change history is a sin.', ""(kneeling at Yeul's feet) But, must we accept this, Yeul?"", '(voices echoing in flashback) If you change the future, you change the past.', 'Yeul...', 'Yeul. Will you allow this?', 'Will they ever find the dawn?', ""Pretend to capitulate and buy yourself time. It's not a bad strategy."", '(points) Wrong. You are the enemy. You are contradictions in the timeline. I have every reason to eliminate you. Two hundred years ago, you learned the forbidden history, and were entombed in that tower as a consequence. But now you stand before me, alive and well once again. What can that be, if not a paradox?', 'There is no mistake. You are one and the same. A distortion. A contradiction.', 'Your very existence poisons the timeline and invites disaster.', 'Vermin. If this tragedy is to come to an end, no trace of you can remain in this reality.', '(voiceover, flashback) Two hundred years ago, you learned the forbidden history and were entombed in that tower as a consequence.', '(voice, flashback) Two hundred years ago, you learned the forbidden history and were entombed in that tower as a consequence. But now you stand before me, alive and well once again. What can that be, if not a paradox?', 'I shall remember your pain. It will be carved in my heart. Together with the memories of every other Yeul, cursed to die this way.', 'I shall remember your pain.', 'To live is without meaning.', ""You fight bravely. (She charges at him, but he vanishes and reappears behind her. She slashes again, but it's no go. Caius reappears on the throne.) Noel gave up much more quickly than this."", ""To save her. Long ago, the goddess Etro rescued you and your friends from your fate as l'Cie. For you, it was a miracle. For Yeul, a sentence of death. In that moment, immutable history was transformed. Time was twisted. With each distortion of the future, the life of the seeress was cut short. (He has a flash of one of Yeul's deaths.) So often have I seen this... Seen her wilt before my eyes. When time is in flux, the future changes, and Yeul is consumed. So I will dam the river of time... ... and tear down the foundations of history. Only then will Yeul's suffering come to an end."", ""Surrender now to your heart's desire."", 'Did you get one?', ""You're improving. It must have been a difficult hunt."", '(chuckles) Yes, you are ready to become the one true Guardian.', 'Because, Noel, that is the way. You are ready to challenge me to a duel. If you defeat me, the sacred pact passes to you. Just as I once defeated my predecessor.', 'I killed him. That is the law of the Guardians. There can only be one. Noel. If you wish to succeed me... You must kill me.', 'Well? Are you ready to kill me?', 'Leave and go where?', 'That is a vain hope, and you of all people should know it.', 'There is one thing. Kill me.', 'The Heart of Chaos beats in my chest-- a manifestation of Etro. Should this heart stop beating, the goddess will die once again. When the goddess dies, the chaos of Valhalla is unleashed. The chaos has the power to warp the timeline and destroy the past.', 'If you cannot... ... you must die instead.', 'To live is without meaning.', 'Face your worst fear.', ""It's as I feared. You are too weak."", ""Surrender now to your heart's desire."", ""You still don't know the truth, Serah. You are the same as Yeul. You can see the timeline. Even if you save your future, you will not survive to see it."", 'How very noble of you. But you shall die first!', 'Face your worst fear.', 'You fight bravely to protect your friends. Like a true Guardian.', 'Everything I do is for Yeul. Her spirit is bound by a curse. I will save her.', 'Here in Valhalla, the chaos is my ally. Now let us decide the true history!', 'You both shall know despair.', 'You cannot kill me. Not now.', ""Which Yeul are you talking about? I've known and protected hundreds of Yeuls. Although they had the same soul, every one of them was unique. A Yeul who dreamed of travel! A Yeul who loved to sing! A Yeul who collected flowers. They all died. All of them, before my eyes!"", ""Noel, you told me that Yeul is reborn because of me. Then I have to die. We must free Yeul. Kill me. You're the only one that can end this eternal torment."", 'Lightning is dead. I killed her with my own hands. Will you allow me to go unpunished?', '(chuckles) In Valhalla, time does not flow as it should. Long before we began our battle here, I had already faced her. Now she sleeps, never to wake. Things that shall happen in your future have already been decided... in my own past. I know how it begins, and how it ends.', 'The moment I cease to exist, Yeul shall be released from her fate.', 'Impressive. (He grabs the sword.) He who can change time, must choose between those who die, and those who live. You must bear the burden. Of the eternal paradox!', 'The Heart of Chaos beats in my chest, a manifestation of Etro. Should this heart stop beating, the goddess will die once again.', 'When the goddess dies, the chaos of Valhalla is unleashed. The chaos has the power to warp the timeline and destroy the past.', 'Every one them was unique! They all died.', 'To live is without meaning.', 'To live is without meaning.', 'There must be some temporal distortion.', 'This is the world you chose. Had you simply accepted defeat, a pleasant dream would have been yours for all eternity.', 'Face your worst fear.', 'There must be some temporal distortion.', '(narrating against a black screen) They have seen all of history, all of its possibilities. They have seen all the endings.', 'But they must know, the goddess Etro is already dead.']",NPC
Final Fantasy XIII-2,2011,Japan,Catlin,Female,"['Welcome to our timeless paradise, Serendipity! You guys are travelers lost in time, right? Is this your first time here?', ""All sorts of people come here for different reasons. Don't worry--we won't try to get in the way of you having fun. In this place, we're all just servants of the goddess--you might know her as Lady Luck."", ""All the better. You've heard of beginner's luck, haven't you? To play the games, you'll need to purchase casino coins from the exchange desk. Go! Enjoy!""]",NPC
Final Fantasy XIII-2,2011,Japan,Chester,Male,"[""(another soldier) Exploring are we? Might wanna be careful in here. Someone spotted a Cie'th in one of the tunnels, deeper in the ruins. We haven't seen a Cie'th on Cocoon for several years now. There's definitely something spooky going on here. I hope someone takes care of it soon."", ""Wise decision. They say someone spotted a Cie'th. It was in one of the excavated tunnels."", ""I hear a Cie'th is wandering around in the ruins. Hopefully some brave soul will deal with it."", ""You think can handle one of those monsters? Maybe you should just leave it to the soldiers. A creature like that shouldn't even be here. With the paradox effect thrown in, there's no telling what it's capable of. Watch your step, and be ready for anything."", ""Cie'th are shambling monsters created by the fal'Cie, right? It just creeps me out."", ""They say the Cie'th was seen in the tunnels further in. Did you spot anything yet?"", ""(auto-talk) The reports say you handled that Cie'th in the ruins. Now I can sleep at night. We learned that all Cie'th were once normal human beings. And their only salvation lies in a merciful death. Such a tragic fate.""]",NPC
