Title,Year,Country,Characters,Gender,Dialogues,Playability
Final Fantasy XIV,2013,Japan,Abelie,Female,"["" Well met and welcome, adventurer. What brings you to this frozen corner of the realm? Oh? It would seem your companion has caught a chill. Come and warm yourself by the fire. I will bring you a hot broth. How are we feeling now, then? Stay here as long as you need. The same goes for you, friend. 'Tis plain you have a hard journey ahead of you. You must find rest when you can."", "" A Roegadyn gentleman dressed in the same manner as your companion? I'm sorry, but he did not come by here. Hmmm, let me think a moment ... I would not raise your hopes unduly, but there is a cave situated a short distance to the south. We call it the Fury's Gaze, and it may be worth the while to investigate. I make this suggestion only because your friend seems like a selfless sort. Rather than drawing the enemy to this tower, mayhap he elected to pass us by.""]",NPC
Final Fantasy XIV,2013,Japan,Abylfarr,Male,[],NPC
Final Fantasy XIV,2013,Japan,Adala,Female,[],NPC
Final Fantasy XIV,2013,Japan,Adalbert,Male,"["" So you're Forename Surname , the fearless leader of the elite adventurer unit. We've been expecting you. Our Maelstrom friends report that Rhitahtyn sas Arvina departed Castrum Occidens a bell ago. And sure enough, a convoy of imperial airships landed here just now. The likelihood is high that our target was aboard one of the vessels. I've dispatched scouts to verify his presence before we strike."", "" Attention, all units. This is Lieutenant Adalbert Cotter. The first step of Operation Archon begins with us. Should we falter here, all hope of victory will be lost. 'Tis no small burden, but know that I believe in all of you. So believe in yourselves, and together we will blaze a path for our brothers and sisters of the Alliance to follow. We will create multiple diversions and disperse the enemy garrison. That should give you a chance to breach their defenses. Go now, Forename , and bring us Rhitahtyn's head! May Rhalgr grant you strength!""]",NPC
Final Fantasy XIV,2013,Japan,Adalind,Female,"["" G-Gundobald sent you? I, uh─ Listen, I told them it was a bad idea! All that tripe about believing the masked man and─ ... O-Oh. You ... you don't know anything about this? Why didn't you say so to start with!? You can't throw the old bear's name around like that and expect me to not think I'm in for it!""]",NPC
Final Fantasy XIV,2013,Japan,Adelphel de Chevraudan,Male,"["" We have begun surveying the Warrens from the western entrance, but progress is slow. 'Twould seem not all the rats have left the nest ... "", ' My thanks for ridding the tunnels of their rat infestation. With any luck, I shall finally be able to carry out my work uninterrupted.']",NPC
Final Fantasy XIV,2013,Japan,Adelstan,Male,"["" (sigh) And I was about to get to the good part ... You've got a hunger, adventurer? Then you've come to the right place. You won't find better hot meals for malms around. Looking for work, you say? Sorry, but we don't have any openings. Now, get out of here so I can finish my story."", "" (sigh) And I was about to get to the good part ... Looking for work, you say? Sorry, but we don't have any openings. Now, get out of here so I can finish my story.""]",NPC
Final Fantasy XIV,2013,Japan,Aenc Thon,Male,[],NPC
Final Fantasy XIV,2013,Japan,Aenor Cockburne,Female,"["" I-I'm doing my best, Ocher, I am! I just can't seem to clear my mind. I keep thinking about you ... and your brother ... and me ... "", ' Oh my. Decisions, decisions ... ', ' We may have accomplished our goal and put it behind us, but my time with the Scions provided memories that will last me a lifetime. What bliss ... To think I was blessed with the chance to experience such unbridled brotherly love! Ah, but now that Ocher has decided to set off without his dear brother ... Without the two of them together, I fear I might suffer withdrawal!', ' Oh, how I miss Hoary Boulder ... I longed for the day I could have a brother on each arm, but it seems all that dreaming was for naught. My appetite is lost, and sleep does not come easy ... I can scarce hold my bow without my hand starting to shake. (gasp) Could this be ... ? This lack of brotherly love must be causing me to suffer withdrawal! Oh, help me, Clemence!', "" So I had a little chat with G'raha Tia. Though he looks as young as any of us, he has the air of an older person about him. I suspect he's seen more than his fair share of trials."", "" They're smitten with the newcomer, the both of them! But I won't let him come between us! Hmmmm, if he were to join us, on the other hand ... "", "" G'raha Tia's scarcely been here, but he's already impressed the britches off both Hoary and Ocher! That's my job!"", "" The Archons need our help! Next to that, even matters of the heart don't seem to matter!"", ' Hoary Boulder certainly cut a fine figure as he set off on his latest mission. I was sad to see him leave, and my nights will be lonelier with just the one brother to keep me company ... ']",NPC
Final Fantasy XIV,2013,Japan,Aergmhus Saehstymmsyn,Male,"[' Ah, we could do with more of that around here! Heartfelt reunions with stalwart companions! Brings a─(belch)─brings a bloody tear to the eye!', "" Well, if it isn't Master Surname! Long has it been since we last met, but surely you haven't forgotten, have you? 'Tis I, Aergmhus—formerly of the Maelstrom and the Crystal Braves! Upon returning from my mission abroad, Tataru called me to the Rising Stones and asked me to prepare for the worst. And though the worst has yet to come, I must abstain from indulging in a glass of wine until after it's passed."", "" This scarlet garb marks me as a proud member of the Maelstrom, and a hearty defender of Limsa Lominsa! Yet in truth, I stand for the betterment of the realm, and thought this new company a fine opportunity to contribute on a grander scale. Oho, now that's a striking shade of blue! Put alongside my Maelstrom uniform, my wardrobe will certainly not lack for color! Forgive me for shedding the red, Admiral! But I must devote my efforts to the greatest good!"", "" This scarlet garb marks me as a proud member of the Maelstrom, and a hearty defender of Limsa Lominsa! Yet in truth, I stand for the betterment of the realm, and thought this new company a fine opportunity to contribute on a grander scale. Oho, now that's a striking shade of blue! Put alongside my Maelstrom uniform, my wardrobe will certainly not lack for color!"", "" I can still scarce believe our battle extended to the ends of creation, but seeing the Scions' mission to completion was both an honor and a privilege! As for myself, I've spent quite a while away from home, so I think I'll return to Limsa Lominsa for now. And once I get there, my first order of business will be downing a pint or three at the Drowning Wench!"", "" Well, if it isn't Master Surname! I just reunited with some of my former Maelstrom comrades. 'Twas quite a relief to see them in such good health! Commander Rhiki even asked if I would like to rejoin their ranks. While I was flattered by the offer, I told her I did not regret shedding the red! Instead, I'll reminisce over the old days with a pint or two, and then sober up so I can help Bluomwyda plot out a course for our next voyage!""]",NPC
