Title,Year,Country,Characters,Gender,Dialogues,Playability
Persona 5,2016,Japan,Akimitsu Tsuda,Male,"['All right Iwai, I’ll take one of everything you showed me today. I’ll need an entire arsenal. How long would that take?', 'Well then ...  if you don’t deliver on time, I might just have to let Kaoru-kun in on your little secret.', 'I wonder, how will an adolescent boy like him react to finding out his father was in the yakuza ... ? I guess if things go sour, we could always try to sell him again...', 'Very much so. Well then, I look forward to hearing from you again ...  soon.', 'Wait, that’s the brat from your shop, isn’t it? I should’ve known he was working for you!', 'Hmph. So you’re still sticking to the code, even in retirement.', 'Heh, you’re as sharp as ever, Mune. Glad to see you haven’t lost your touch in your absence. I bet we never would’ve gotten duped by those Hong Kong motherfuckers if I still had you as my right-hand man. Instead I’m stuck dealing with the mess that idiot Masa made for me ...  Hey, kid. Sorry for getting a respectable teen like yourself wrapped up in our bullshit feud.', 'I hope dealing with all this yakuza business hasn’t been too much trouble.', 'I don’t think you understand, Mune ... ', 'I’m done playing nice with you. You’re gonna make me what I need one way or another, Iwai! And if you can’t do it fast, both your son and this little ""witness"" of yours are gonna pay for it!', 'Times have changed, Mune. You’re hung up on bullshit like pride and duty, but you know what? Nobody gives a fuck about your goddamn code of honor anymore!', 'Now you listen to me, you little piece of shit.', 'You’re going to make me those guns, and you’re going to do it fast. Don’t make me tell you again.', 'Don’t give me that. I know you ratted me out to the boss. You never have been good at keeping your mouth shut.', 'Uh-huh. And what do you think you’re doing waving that knife around? Huh!?', 'Your kid’s got guts, Mune. Like father like son, huh?', 'Well, I’ll start by making this idiot repay his debts. I haven’t thought much about what comes after. All I really know is ...  this is where we say goodbye, Mune.', 'Let’s go.']",NPC
Persona 5,2016,Japan,Akitsu,Male,"['I’m going to take all the money I saved and move overseas to start a business. That way, we can keep making money and live a life of leisure forever!', 'Shut up! Why should I? Banks are always taking money from people unfairly. I’m stealing back from the people who stole first. I’m doing what’s right! I’m carrying out justice!', 'Hmm? You guys hide your identities too. You know what? That makes you all hypocrites! I’m gonna take off those masks and see who you guys really are!', 'This whole time ...  I was a bad guy.', 'I was wrong to have said that. I’ve realized my own mistakes, thanks to all of you. I’m ashamed of myself. I’ve worked so hard to fool the world, living only for my own greed. I’ve changed my face and name many times, but for the first time ...  you’ve changed my heart.', 'Yes. I returned all the money I took. I was charged with a lot of interest ...  Now I’m bankrupt. What am I going to do ... ?', 'Well, the more I thought about it, the more I realized that I can achieve what I want to here. I’m going to start over fresh. I want to contribute to society in any way I can ...  What are you going to do? I need to atone for everything I’ve done.']",NPC
Persona 5,2016,Japan,Akiyama,Male,"['Y’know, we’ve been siting just over there the whole time, but we didn’t even notice you sitting here!', 'You haven’t changed your cell number, have you?', 'Then why didn’t you come to our hangout? All our ex-classmates were there, y’know! Oh, wait ...  Nobody even remembered you existed! Can’t invite a guy you can’t remember, right?', 'Yo, Mishima ...  I haven’t seen you since graduation.', '...Oh yeah, I guess you’re right.  ...  ... ', 'What?', '...Whaddya mean? Does it look like I ain’t OK?', '...Shut your mouth, zero. I don’t got time to be listening to you.', '...Mishima.', ' ...  ... ', 'P-Please, no! I’m begging you ... !', 'Run away, you idiot ... ', 'Mishima ...  Why’d you help me?', 'You didn’t need to get involved ... ', ' ...  ...  ...Is that so?', '...I’m fine. Just go.', ' ...  ... ', 'Er, not exactly ...  C’mon, let’s just forget him. It’s no fun messing with Mishima anymore.', 'I dunno, guess I got tired of it.', 'I’ve been thinking, well ...  I should prolly thank you.', 'I-I ...   ...  ... ', 'Mishima ...  ...My bad, guess it was someone else.  ...  ...  ...You’ve changed though.', 'Yo, glasses. I always see you two together ...  You been coaching him?', 'Heh ...  That so? I’m kinda jealous. Anyways, seeya later.']",NPC
